record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
cell_cycle_fig2_flo_1_24h_g2_m_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_G2_M_fraction,G2_M,38,percent,24,h,plotted percentage,extraction estimate,5,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,G2-M arrest
cell_cycle_fig2_flo_1_24h_g2_m_mln8237_0_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um,flow_fig2_flo_1,cell_cycle_G2_M_fraction,G2_M,40,percent,24,h,plotted percentage,extraction estimate,5,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,G2-M arrest
cell_cycle_fig2_flo_1_24h_g2_m_mln8237_0_5_um_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um_cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_G2_M_fraction,G2_M,45,percent,24,h,plotted percentage,extraction estimate,5,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Enhanced arrest
cell_cycle_fig2_flo_1_24h_g2_m_vehicle,flo_1_in_vitro,flo_1_in_vitro__vehicle,flow_fig2_flo_1,cell_cycle_G2_M_fraction,G2_M,25,percent,24,h,plotted percentage,extraction estimate,5,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Cell cycle arrest
cell_cycle_fig2_flo_1_24h_polyploid_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_Polyploid_fraction,Polyploid,8,percent,24,h,plotted percentage,extraction estimate,1,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Modest increase
cell_cycle_fig2_flo_1_24h_polyploid_mln8237_0_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um,flow_fig2_flo_1,cell_cycle_Polyploid_fraction,Polyploid,15,percent,24,h,plotted percentage,extraction estimate,2,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,3-fold increase
cell_cycle_fig2_flo_1_24h_polyploid_mln8237_0_5_um_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um_cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_Polyploid_fraction,Polyploid,18,percent,24,h,plotted percentage,extraction estimate,2,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Enhanced polyploidy
cell_cycle_fig2_flo_1_24h_polyploid_vehicle,flo_1_in_vitro,flo_1_in_vitro__vehicle,flow_fig2_flo_1,cell_cycle_Polyploid_fraction,Polyploid,5,percent,24,h,plotted percentage,extraction estimate,1,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Mitotic catastrophe marker
cell_cycle_fig2_flo_1_24h_sub_g1_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,6,percent,24,h,plotted percentage,extraction estimate,2,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Modest increase
cell_cycle_fig2_flo_1_24h_sub_g1_mln8237_0_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,8,percent,24,h,plotted percentage,extraction estimate,2,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Modest increase
cell_cycle_fig2_flo_1_24h_sub_g1_mln8237_0_5_um_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um_cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,12,percent,24,h,plotted percentage,extraction estimate,3,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Enhanced apoptosis
cell_cycle_fig2_flo_1_24h_sub_g1_vehicle,flo_1_in_vitro,flo_1_in_vitro__vehicle,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,5,percent,24,h,plotted percentage,extraction estimate,2,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Apoptotic fraction
cell_cycle_fig2_flo_1_72h_sub_g1_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,15,percent,72,h,plotted percentage,extraction estimate,3,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,3-fold increase
cell_cycle_fig2_flo_1_72h_sub_g1_mln8237_0_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,20,percent,72,h,plotted percentage,extraction estimate,3,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,4-fold increase
cell_cycle_fig2_flo_1_72h_sub_g1_mln8237_0_5_um_cisplatin_2_5_um,flo_1_in_vitro,flo_1_in_vitro__mln8237_0_5_um_cisplatin_2_5_um,flow_fig2_flo_1,cell_cycle_Sub_G1_fraction,Sub_G1,35,percent,72,h,plotted percentage,extraction estimate,4,,,,workbook,Figure 2,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"7-fold increase, p<0.001"
