record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
obs_001_AMG900_SW872_EC50,sw_872_in_vitro,sw_872_in_vitro__amg_900_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,3.7,nM,72,h,EC50,,,3,,,figure_1,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Pan-Aurora kinase inhibitor; most potent on SW-872
obs_002_AMG900_93T449_EC50,93t449_in_vitro,93t449_in_vitro__amg_900_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,6.5,nM,72,h,EC50,,,3,,,figure_1,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,1.75-fold less potent than SW-872; reflects lower AURKA protein
obs_003_AMG900_HCT116_EC50,hct_116_in_vitro,hct_116_in_vitro__amg_900_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,1.4,nM,72,h,EC50,,,3,,,figure_1,Figure 1,C,,,DIRECT_SOURCE,QUANTITATIVE,False,,Positive control; most sensitive to AMG 900
obs_004_AZD1152_SW872_EC50,sw_872_in_vitro,sw_872_in_vitro__azd1152_hqpa_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,43.4,nM,72,h,EC50,,,3,,,figure_1,Figure 1,D,,,DIRECT_SOURCE,QUANTITATIVE,False,,AURKB-selective inhibitor; 11.7-fold less potent than AMG 900
obs_005_AZD1152_93T449_EC50,93t449_in_vitro,93t449_in_vitro__azd1152_hqpa_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,74.5,nM,72,h,EC50,,,3,,,figure_1,Figure 1,E,,,DIRECT_SOURCE,QUANTITATIVE,False,,Corrected from supplied 43.4 nM to source-reported 74.5 nM.
obs_006_AZD1152_HCT116_EC50,hct_116_in_vitro,hct_116_in_vitro__azd1152_hqpa_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,27.3,nM,72,h,EC50,,,3,,,figure_1,Figure 1,F,,,DIRECT_SOURCE,QUANTITATIVE,False,,Most sensitive; consistent with highest AURKB mRNA in this line
obs_007_MK5108_SW872_EC50,sw_872_in_vitro,sw_872_in_vitro__mk_5108_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,309.0,nM,72,h,EC50,,,3,,,figure_1,Figure 1,G,,,DIRECT_SOURCE,QUANTITATIVE,False,,AURKA-selective inhibitor; 83-fold less potent than AMG 900; minimal polyploidy
obs_008_MK5108_93T449_EC50,93t449_in_vitro,93t449_in_vitro__mk_5108_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,283.6,nM,72,h,EC50,,,3,,,figure_1,Figure 1,H,,,DIRECT_SOURCE,QUANTITATIVE,False,,Similar to SW-872; AURKA inhibition alone insufficient for viability inhibition
obs_009_MK5108_HCT116_EC50,hct_116_in_vitro,hct_116_in_vitro__mk_5108_dose_response_0_1000_nm_72h,mtt_viability,viability_EC50,EC50,135.1,nM,72,h,EC50,,,3,,,figure_1,Figure 1,I,,,DIRECT_SOURCE,QUANTITATIVE,False,,Most potent AURKA inhibitor response; still 96-fold weaker than AMG 900
obs_010_AMG900_SW872_polyploidy_baseline,sw_872_in_vitro,sw_872_in_vitro__dmso,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),19.0,%,72,h,approximate plotted mean,extraction estimate,4.0,3,,,figure_2,Figure 2,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Baseline polyploidy in undifferentiated liposarcoma; n=3 experiments; Generated value corrected by manual reading of the preserved public figure.; Approximate plot reading; not a raw replicate measurement.
obs_011_AMG900_SW872_polyploidy_25nM,sw_872_in_vitro,sw_872_in_vitro__amg_900_25_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),86.0,%,72,h,approximate plotted mean,extraction estimate,8.0,3,,,figure_2,Figure 2,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Significant increase begins at 25 nM (first dose with p<0.05 vs DMSO); n=3; Generated value corrected by manual reading of the preserved public figure.; Supplied annotation records p-value threshold/value 0.05; comparator and exact operator require full-text verification.; Approximate plot reading; not a raw replicate measurement.
obs_012_AMG900_SW872_polyploidy_1000nM,sw_872_in_vitro,sw_872_in_vitro__amg_900_1000_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),81.0,%,72,h,approximate plotted mean,extraction estimate,5.0,3,,,figure_2,Figure 2,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Maximal polyploidy response; ~8-9 fold increase from baseline; p<0.001 vs DMSO; Generated value corrected by manual reading of the preserved public figure.; Supplied annotation records p-value threshold/value 0.001; comparator and exact operator require full-text verification.; Approximate plot reading; not a raw replicate measurement.
obs_013_AZD1152_SW872_polyploidy_100nM,sw_872_in_vitro,sw_872_in_vitro__azd1152_hqpa_100_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),20.0,%,72,h,approximate plotted mean,extraction estimate,7.0,3,,,figure_2,Figure 2,C,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Significant increase begins ~100 nM (4-fold higher than AMG 900 threshold); n=3; Generated value corrected by manual reading of the preserved public figure.; Supplied annotation records p-value threshold/value 0.05; comparator and exact operator require full-text verification.; Approximate plot reading; not a raw replicate measurement.
obs_014_AZD1152_SW872_polyploidy_1000nM,sw_872_in_vitro,sw_872_in_vitro__azd1152_hqpa_1000_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),81.0,%,72,h,approximate plotted mean,extraction estimate,4.0,3,,,figure_2,Figure 2,C,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,3.1-fold increase; reaches ~90% polyploidy; p<0.001 vs DMSO; Generated value corrected by manual reading of the preserved public figure.; Supplied annotation records p-value threshold/value 0.001; comparator and exact operator require full-text verification.; Approximate plot reading; not a raw replicate measurement.
obs_015_MK5108_SW872_polyploidy_1000nM,sw_872_in_vitro,sw_872_in_vitro__mk_5108_1000_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),28.0,%,72,h,approximate plotted mean,extraction estimate,3.0,3,,,figure_2,Figure 2,D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,No significant increase even at 1000 nM; p>0.05 vs DMSO; n=3; Generated value corrected by manual reading of the preserved public figure.; Approximate plot reading; not a raw replicate measurement.
obs_016_AMG900_93T449_polyploidy_baseline,93t449_in_vitro,93t449_in_vitro__dmso,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),21.0,%,72,h,approximate plotted mean,extraction estimate,4.0,3,,,figure_3,Figure 3,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Baseline polyploidy in well-differentiated liposarcoma; slightly higher than SW-872; Generated value corrected by manual reading of the preserved public figure.; Approximate plot reading; not a raw replicate measurement.
obs_017_AMG900_93T449_polyploidy_500nM,93t449_in_vitro,93t449_in_vitro__amg_900_500_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),56.0,%,72,h,approximate plotted mean,extraction estimate,6.0,3,,,figure_3,Figure 3,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Dose-dependent response starting at 25 nM; less potent than SW-872 (60% vs 90%); Generated value corrected by manual reading of the preserved public figure.; Supplied annotation records p-value threshold/value 0.01; comparator and exact operator require full-text verification.; Approximate plot reading; not a raw replicate measurement.
obs_018_AMG900_93T449_polyploidy_1000nM,93t449_in_vitro,93t449_in_vitro__amg_900_1000_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),57.0,%,72,h,approximate plotted mean,extraction estimate,6.0,3,,,figure_3,Figure 3,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Plateaus at ~60%; ~2.4 fold increase from baseline (vs 4.5× in SW-872); Generated value corrected by manual reading of the preserved public figure.; Supplied annotation records p-value threshold/value 0.01; comparator and exact operator require full-text verification.; Approximate plot reading; not a raw replicate measurement.
obs_019_AZD1152_93T449_polyploidy_1000nM,93t449_in_vitro,93t449_in_vitro__azd1152_hqpa_1000_0_nm_72h,facs_polyploidy,cell_cycle_polyploid_fraction,% polyploid cells (>4N),42.0,%,72,h,approximate plotted mean,extraction estimate,2.0,3,,,figure_3,Figure 3,C,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Minimal response in well-differentiated line; p>0.05 vs DMSO at all doses; Generated value corrected by manual reading of the preserved public figure.; Approximate plot reading; not a raw replicate measurement.
