condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
dms114_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,dms114_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
dms53_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,dms53_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
dms53_in_vitro__barasertib_hqpa_50_nm_48_h__step_1,dms53_in_vitro__barasertib_hqpa_50_nm_48_h,Barasertib-HQPA,50.0,nM,0,48.0,h,1,Continuous in vitro exposure before ploidy measurement.
h1092_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h1092_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h146_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h146_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h1694_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h1694_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h187_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h187_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h187_in_vitro__barasertib_hqpa_30_nm_48_h__step_1,h187_in_vitro__barasertib_hqpa_30_nm_48_h,Barasertib-HQPA,30.0,nM,0,48.0,h,1,Continuous in vitro exposure before ploidy measurement.
h1963_in_vitro__barasertib_hqpa_0_100_nm_120_h__step_1,h1963_in_vitro__barasertib_hqpa_0_100_nm_120_h,Barasertib-HQPA,,nM,0,120,h,1,Five-day concentration-response experiment.
h2029_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h2029_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h2081_in_vitro__barasertib_hqpa_0_100_nm_120_h__step_1,h2081_in_vitro__barasertib_hqpa_0_100_nm_120_h,Barasertib-HQPA,,nM,0,120,h,1,Five-day concentration-response experiment.
h211_in_vitro__barasertib_hqpa_0_100_nm_120_h__step_1,h211_in_vitro__barasertib_hqpa_0_100_nm_120_h,Barasertib-HQPA,,nM,0,120,h,1,Five-day concentration-response experiment.
h2141_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h2141_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h2171_in_vitro__barasertib_hqpa_0_100_nm_120_h__step_1,h2171_in_vitro__barasertib_hqpa_0_100_nm_120_h,Barasertib-HQPA,,nM,0,120,h,1,Five-day concentration-response experiment.
h345_in_vitro__barasertib_hqpa_100_nm_120_h__step_1,h345_in_vitro__barasertib_hqpa_100_nm_120_h,Barasertib-HQPA,100,nM,0,120,h,1,Source classification dose and five-day exposure.
h345_in_vitro__barasertib_hqpa_30_nm_48_h__step_1,h345_in_vitro__barasertib_hqpa_30_nm_48_h,Barasertib-HQPA,30.0,nM,0,48.0,h,1,Continuous in vitro exposure before ploidy measurement.
h345_in_vitro__barasertib_hqpa_50_nm_paclitaxel_50_nm_24_h__step_1,h345_in_vitro__barasertib_hqpa_50_nm_paclitaxel_50_nm_24_h,Barasertib-HQPA,50.0,nM,0,24,h,1,Concurrent exposure.
