record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
dms114_barasertib_hqpa_growth_response_intermediate,dms114_in_vitro,dms114_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,DMS114 was omitted from the supplied observation rows; its intermediate classification was restored from Figure 1B.
dms53_barasertib_hqpa_growth_response_resistant,dms53_in_vitro,dms53_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,resistant: <20% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,C,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 380 nM was not imported.
h1092_barasertib_hqpa_growth_response_intermediate,h1092_in_vitro,h1092_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 85 nM was not imported.
h146_barasertib_hqpa_growth_response_intermediate,h146_in_vitro,h146_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 88 nM was not imported.
h1694_barasertib_hqpa_growth_response_intermediate,h1694_in_vitro,h1694_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 92 nM was not imported.
h187_barasertib_hqpa_growth_response_intermediate,h187_in_vitro,h187_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 76 nM was not imported.
h1963_barasertib_hqpa_ic50_lt_50_nm,h1963_in_vitro,h1963_in_vitro__barasertib_hqpa_0_100_nm_120_h,mts_growth,viability_IC50,IC50 < 50 nM,,nM,120,h,IC50,,,,,,paper,Figure 1,A,,,TEXT_DERIVED,QUANTITATIVE,True,50,Source-defined sensitive line: IC50 <50 nM and >75% growth inhibition at 100 nM. Supplied unsupported exact estimate 78 nM was not imported.
h2029_barasertib_hqpa_growth_response_intermediate,h2029_in_vitro,h2029_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 102 nM was not imported.
h2081_barasertib_hqpa_ic50_lt_50_nm,h2081_in_vitro,h2081_in_vitro__barasertib_hqpa_0_100_nm_120_h,mts_growth,viability_IC50,IC50 < 50 nM,,nM,120,h,IC50,,,,,,paper,Figure 1,A,,,TEXT_DERIVED,QUANTITATIVE,True,50,Source-defined sensitive line: IC50 <50 nM and >75% growth inhibition at 100 nM. Supplied unsupported exact estimate 32 nM was not imported.
h211_barasertib_hqpa_ic50_lt_50_nm,h211_in_vitro,h211_in_vitro__barasertib_hqpa_0_100_nm_120_h,mts_growth,viability_IC50,IC50 < 50 nM,,nM,120,h,IC50,,,,,,paper,Figure 1,A,,,TEXT_DERIVED,QUANTITATIVE,True,50,Source-defined sensitive line: IC50 <50 nM and >75% growth inhibition at 100 nM. Supplied unsupported exact estimate 25 nM was not imported.
h2141_barasertib_hqpa_growth_response_intermediate,h2141_in_vitro,h2141_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 340 nM was not imported.
h2171_barasertib_hqpa_ic50_lt_50_nm,h2171_in_vitro,h2171_in_vitro__barasertib_hqpa_0_100_nm_120_h,mts_growth,viability_IC50,IC50 < 50 nM,,nM,120,h,IC50,,,,,,paper,Figure 1,A,,,TEXT_DERIVED,QUANTITATIVE,True,50,Source-defined sensitive line: IC50 <50 nM and >75% growth inhibition at 100 nM. Supplied unsupported exact estimate 75 nM was not imported.
h345_barasertib_hqpa_growth_response_resistant,h345_in_vitro,h345_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,resistant: <20% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,C,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 315 nM was not imported.
h345_ph3_ser10_suppressed,h345_in_vitro,h345_in_vitro__barasertib_hqpa_50_nm_paclitaxel_50_nm_24_h,ph3_facs,phospho_H3_Ser10_status,suppressed relative to paclitaxel alone,,,24,h,qualitative distribution shift,,,,,,figure_3,Figure 3,B,,,IMAGE_DERIVED,QUALITATIVE_VALIDATION,False,,Confirms AURKB target engagement in both a sensitive and a resistant line.
h378_barasertib_hqpa_ic50_lt_50_nm,h378_in_vitro,h378_in_vitro__barasertib_hqpa_0_100_nm_120_h,mts_growth,viability_IC50,IC50 < 50 nM,,nM,120,h,IC50,,,,,,paper,Figure 1,A,,,TEXT_DERIVED,QUANTITATIVE,True,50,Source-defined sensitive line: IC50 <50 nM and >75% growth inhibition at 100 nM. Supplied unsupported exact estimate 22 nM was not imported.
h446_barasertib_hqpa_ic50_lt_50_nm,h446_in_vitro,h446_in_vitro__barasertib_hqpa_0_100_nm_120_h,mts_growth,viability_IC50,IC50 < 50 nM,,nM,120,h,IC50,,,,,,paper,Figure 1,A,,,TEXT_DERIVED,QUANTITATIVE,True,50,Source-defined sensitive line: IC50 <50 nM and >75% growth inhibition at 100 nM. Supplied unsupported exact estimate 8 nM was not imported.
h446_ph3_ser10_suppressed,h446_in_vitro,h446_in_vitro__barasertib_hqpa_25_nm_paclitaxel_25_nm_24_h,ph3_facs,phospho_H3_Ser10_status,suppressed relative to paclitaxel alone,,,24,h,qualitative distribution shift,,,,,,figure_3,Figure 3,A,,,IMAGE_DERIVED,QUALITATIVE_VALIDATION,False,,Confirms AURKB target engagement in both a sensitive and a resistant line.
h524_barasertib_hqpa_growth_response_intermediate,h524_in_vitro,h524_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 35 nM was not imported.
h526_barasertib_hqpa_growth_response_intermediate,h526_in_vitro,h526_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 110 nM was not imported.
h69_barasertib_hqpa_growth_response_intermediate,h69_in_vitro,h69_in_vitro__barasertib_hqpa_100_nm_120_h,mts_growth,growth_inhibition_class,intermediate: 32-50% growth inhibition at 100 nM,,,120,h,source-defined response class,,,,,,paper,Figure 1,B,,,TEXT_DERIVED,QUALITATIVE_VALIDATION,False,,Supplied unsupported exact IC50 estimate 98 nM was not imported.
