assay_key,assay_type,assay_name,sample_type,measurement_platform,figure,panel,reported_time,reported_time_unit,replicate_count,notes
caspase3_ihc_xenograft,Immunohistochemistry,Figure 5C xenograft activated caspase-3 IHC,451Lu/1205Lu xenograft tumor,"IHC, activated caspase-3 antibody, paraffin section",Figure 5,C,24,h,,"24 h post-dose; modest increase in both models, more modest in 1205Lu."
facs_annexin_v,Flow cytometry,Figure 2D Annexin V positivity,melanoma cells,Annexin V-FITC/PI FACS,Figure 2,D,48,h,,Bar heights digitized against 0/20/40/60/80/100% gridlines; no printed data labels.
facs_subg1,Flow cytometry,Figure 2C sub-G1 apoptotic fraction,melanoma cells,Propidium iodide DNA-content FACS,Figure 2,C,48,h,,Bar heights digitized against 0/20/40/60/80/100% gridlines; no printed data labels.
mts_ic50,MTS viability assay,Figure 1 birinapant IC50 (alone and + TNF-alpha),melanoma cells,"MTS proliferation assay, 72 h, absorbance 490 nm",Figure 1,,72,h,3,Bar-chart data labels digitized; mean of biological triplicates per figure legend.
mts_mechanistic,MTS viability assay,Figure 6 mechanistic/combination MTS assays,melanoma cells,"MTS proliferation assay, 72 h, absorbance 490 nm or relative viability",Figure 6,A-D,72,h,,"Covers TNF-alpha mAb blocking (6A), birinapant/TNF-alpha dosing-order schedule (6B), BRAFi-resistant subline cross-resistance (6C), and cisplatin combination (6D)."
mts_rescue,MTS viability assay,Figure 3B/3C caspase and RIP1-kinase inhibitor rescue,melanoma cells,"MTS proliferation assay, 72 h; 1 uM birinapant + 1 ng/mL TNF-alpha +/- inhibitor",Figure 3,B-C,72,h,,Z-VAD-FMK (pan-caspase) and Necrostatin-1 (RIP1 kinase) rescue relative proliferation.
ripk1_expression,Gene expression,Figure 3D RIPK1 mRNA expression,melanoma cell panel (Supplementary Table S1),Not specified beyond scatter plot; GUSB-normalized relative expression,Figure 3,D,,,,Group means visually estimated from scatter plot stratified by birinapant sensitivity; not a strong predictive biomarker on its own.
spheroid_alamar_blue,Alamar Blue viability assay,Figure 4B 3D spheroid relative viability,melanoma 3D spheroid,"Resazurin reduction fluorescence, 72 h",Figure 4,B,72,h,6,n=6 technical replicates per line; birinapant 1 uM + TNF-alpha 1 ng/mL.
spheroid_live_dead,Confocal microscopy,Figure 4A 3D spheroid Live/Dead imaging,melanoma 3D spheroid,Calcein-AM/ethidium homodimer-1 confocal imaging,Figure 4,A,72,h,,Qualitative red(dead):green(live) shift read by direct image inspection.
western_apoptosis_signaling,Western blot,Figure 2B apoptosis/signaling immunoblot,melanoma cells,"Immunoblotting (cleaved PARP, NF-kB p65, RIP1); 24 h treatment",Figure 2,B,24,h,,Qualitative band presence/absence and intensity-shift read by direct panel inspection.
western_ciap_invitro,Western blot,Figure 3A cIAP1/XIAP degradation kinetics (451Lu),451Lu melanoma cells,"Immunoblotting, dose (0.1-10 uM) x time (1-24 h) matrix",Figure 3,A,,h,,cIAP1 essentially undetectable at all tested doses/timepoints; XIAP unchanged. See raw_densitometry_digitization.csv for image-derived band intensities.
western_ciap_xenograft,Western blot,Figure 5B xenograft cIAP1 target engagement,451Lu/1205Lu xenograft tumor,"Immunoblot densitometry, cIAP1 normalized to vehicle=100%",Figure 5,B,,h,,Mice dosed twice at a 48 h interval; tumors harvested 3/6/12/24 h after the last dose. SEM enriched from birinapant_qsp_biomarker_digitization.xlsx Recommended input sheet.
xenograft_tumor_volume,Caliper tumor volume,Figure 5A xenograft tumor growth,451Lu/1205Lu xenograft tumor,Digital caliper; V = length x width^2 / 2; fold-change vs first dosing day,Figure 5,A,,d,5,n=5 mice/group; IP dosing 3x/week 30 mg/kg birinapant or vehicle.
