condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
1205lu_in_vitro__birinapant_1000_nm_48_h__step_1,1205lu_in_vitro__birinapant_1000_nm_48_h,Birinapant,1000,nM,0,48,h,1,
1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h__step_1,1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,Birinapant,1000,nM,0,24,h,1,
1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h__step_2,1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,TNF-alpha,1,ng/mL,0,24,h,2,
1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_1,1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,Birinapant,1000,nM,0,48,h,1,
1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_2,1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,2,
1205lu_in_vitro__birinapant_alone_dose_response_72_h__step_1,1205lu_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
1205lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,1205lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
1205lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,1205lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
1205lu_in_vitro__tnf_alpha_1_ng_ml_48_h__step_1,1205lu_in_vitro__tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,1,
1205lu_in_vitro__vehicle_control__step_1,1205lu_in_vitro__vehicle_control,Vehicle,,,,,,1,
1205lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_1,1205lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,Birinapant,1000,nM,0,72,h,1,
1205lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_2,1205lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,TNF-alpha,1,ng/mL,0,72,h,2,
1205lu_xenograft__birinapant_30_mg_kg_ip_24_h_post_dose__step_1,1205lu_xenograft__birinapant_30_mg_kg_ip_24_h_post_dose,Birinapant,30,mg/kg,,24,h,1,IP dosing; 24 h post-dose tumor harvest.
