condition_key,context_key,condition_label,notes
1205lu_in_vitro__birinapant_1000_nm_48_h,1205lu_in_vitro,"Birinapant 1000 nM, 48 h",
1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,1205lu_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 24 h",
1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,1205lu_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 48 h",
1205lu_in_vitro__birinapant_alone_dose_response_72_h,1205lu_in_vitro,"Birinapant alone, dose-response, 72 h",
1205lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,1205lu_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
1205lu_in_vitro__tnf_alpha_1_ng_ml_48_h,1205lu_in_vitro,"TNF-alpha 1 ng/mL, 48 h",
1205lu_in_vitro__vehicle_control,1205lu_in_vitro,Vehicle control,
1205lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,1205lu_spheroid,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 72 h (spheroid)",
1205lu_xenograft__birinapant_30_mg_kg_ip_24_h_post_dose,1205lu_xenograft,"Birinapant 30 mg/kg IP, 24 h post-dose",
1205lu_xenograft__birinapant_30_mg_kg_ip_3x_week,1205lu_xenograft,Birinapant 30 mg/kg IP 3x/week,
1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,1205lu_xenograft,"Birinapant 30 mg/kg IP, twice at 48 h interval",
1205lu_xenograft__vehicle_control_xenograft,1205lu_xenograft,Vehicle control (xenograft),
451lu_br_in_vitro__birinapant_0_nm_72_h,451lu_br_in_vitro,"Birinapant 0 nM, 72 h",
451lu_br_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h,451lu_br_in_vitro,"Birinapant 0 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_br_in_vitro__birinapant_1000_nm_72_h,451lu_br_in_vitro,"Birinapant 1000 nM, 72 h",
