context_key,species,cell_line,cell_type,tissue,disease,culture_context,notes
1205lu_in_vitro,Homo sapiens,1205Lu,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
1205lu_spheroid,Homo sapiens,1205Lu,melanoma cell (3D spheroid),cutaneous melanoma,melanoma,3D spheroid embedded in collagen matrix mimicking stroma,Melanoma phenotype tier (2D): Resistant. 3D validation of the 2D combination-sensitivity phenotype.
1205lu_xenograft,Mus musculus,1205Lu,human melanoma xenograft,subcutaneous flank tumor,melanoma,human-cell xenograft in nude (immunodeficient) mice,Melanoma phenotype tier (in vitro): Resistant. Subcutaneous implant; dosing began once tumors were palpable.
451lu_br_in_vitro,Homo sapiens,451Lu-BR,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",451Lu subline with acquired BRAF-inhibitor resistance (RAF isoform switch plus IGF-1R/PI3K pathway upregulation); used in Figure 6C to test cross-resistance with birinapant+TNF-alpha sensitivity.
451lu_in_vitro,Homo sapiens,451Lu,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive. Reported driver genotype: BRAFV600E.
451lu_spheroid,Homo sapiens,451Lu,melanoma cell (3D spheroid),cutaneous melanoma,melanoma,3D spheroid embedded in collagen matrix mimicking stroma,Melanoma phenotype tier (2D): Combination sensitive. 3D validation of the 2D combination-sensitivity phenotype.
451lu_xenograft,Mus musculus,451Lu,human melanoma xenograft,subcutaneous flank tumor,melanoma,human-cell xenograft in nude (immunodeficient) mice,Melanoma phenotype tier (in vitro): Combination sensitive. Subcutaneous implant; dosing began once tumors were palpable.
birinapant_resistant_lines_pooled,Homo sapiens,Pooled birinapant-resistant melanoma lines,melanoma cell cohort,cutaneous melanoma,melanoma,in vitro aggregate cohort (individual lines from Supplementary Table S1),Group-mean RIPK1 mRNA scatter (Figure 3D); individual lines composing this pool are not enumerated in the digitized figure.
birinapant_sensitive_lines_pooled,Homo sapiens,Pooled birinapant-sensitive melanoma lines,melanoma cell cohort,cutaneous melanoma,melanoma,in vitro aggregate cohort (individual lines from Supplementary Table S1),Group-mean RIPK1 mRNA scatter (Figure 3D); individual lines composing this pool are not enumerated in the digitized figure.
c8161_in_vitro,Homo sapiens,C8161,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
uacc_62_in_vitro,Homo sapiens,UACC-62,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
wm1341d_in_vitro,Homo sapiens,WM1341D,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
wm1366_in_vitro,Homo sapiens,WM1366,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive. Reported driver genotype: NRASQ61L.
