record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
obs_1205Lu_annexinV_TNF_alpha,1205lu_in_vitro,1205lu_in_vitro__tnf_alpha_1_ng_ml_48_h,facs_annexin_v,annexinV_positive_fraction,TNF-alpha arm,2.0,%,48,h,percentage of gated cells,visual digitization uncertainty (+/-3-5 percentage points),,,,,figure_2,Figure 2,D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Digitized from bar height vs y-axis gridlines (0/20/40/60/80/100%); no printed data label on chart, so treated as approximate (±3-5% pixel-reading uncertainty). SEM error bars visible on original figure but not extracted. Phenotype tier: Resistant."
obs_1205Lu_annexinV_birinapant,1205lu_in_vitro,1205lu_in_vitro__birinapant_1000_nm_48_h,facs_annexin_v,annexinV_positive_fraction,birinapant arm,2.0,%,48,h,percentage of gated cells,visual digitization uncertainty (+/-3-5 percentage points),,,,,figure_2,Figure 2,D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Digitized from bar height vs y-axis gridlines (0/20/40/60/80/100%); no printed data label on chart, so treated as approximate (±3-5% pixel-reading uncertainty). SEM error bars visible on original figure but not extracted. Phenotype tier: Resistant."
obs_1205Lu_annexinV_combination,1205lu_in_vitro,1205lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,facs_annexin_v,annexinV_positive_fraction,combination arm,13.0,%,48,h,percentage of gated cells,visual digitization uncertainty (+/-3-5 percentage points),,,,,figure_2,Figure 2,D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Digitized from bar height vs y-axis gridlines (0/20/40/60/80/100%); no printed data label on chart, so treated as approximate (±3-5% pixel-reading uncertainty). SEM error bars visible on original figure but not extracted. Phenotype tier: Resistant."
obs_1205Lu_annexinV_control,1205lu_in_vitro,1205lu_in_vitro__vehicle_control,facs_annexin_v,annexinV_positive_fraction,control arm,2.0,%,48,h,percentage of gated cells,visual digitization uncertainty (+/-3-5 percentage points),,,,,figure_2,Figure 2,D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Digitized from bar height vs y-axis gridlines (0/20/40/60/80/100%); no printed data label on chart, so treated as approximate (±3-5% pixel-reading uncertainty). SEM error bars visible on original figure but not extracted. Phenotype tier: Resistant."
obs_1205Lu_ciap1_xenograft_12h,1205lu_xenograft,1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,western_ciap_xenograft,cIAP1_protein_remaining_pct,"cIAP1 protein remaining (12h post-dose, xenograft)",23.0,% of vehicle control,12.0,h,densitometry normalized to vehicle = 100%,approximate SEM (birinapant_qsp_biomarker_digitization.xlsx Recommended input),15.0,,,,figure_5,Figure 5,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Mice dosed twice at 48h interval, tumors harvested at 3h/6h/12h/24h after last dose; densitometry of cIAP1 band normalized to vehicle=100%; sustained depletion through 24h in both lines despite differing in vivo growth response Phenotype tier (in vitro): Resistant (in vitro); partial in vivo response."
obs_1205Lu_ciap1_xenograft_24h,1205lu_xenograft,1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,western_ciap_xenograft,cIAP1_protein_remaining_pct,"cIAP1 protein remaining (24h post-dose, xenograft)",28.0,% of vehicle control,24.0,h,densitometry normalized to vehicle = 100%,approximate SEM (birinapant_qsp_biomarker_digitization.xlsx Recommended input),17.0,,,,figure_5,Figure 5,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Mice dosed twice at 48h interval, tumors harvested at 3h/6h/12h/24h after last dose; densitometry of cIAP1 band normalized to vehicle=100%; sustained depletion through 24h in both lines despite differing in vivo growth response Phenotype tier (in vitro): Resistant (in vitro); partial in vivo response."
obs_1205Lu_ciap1_xenograft_3h,1205lu_xenograft,1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,western_ciap_xenograft,cIAP1_protein_remaining_pct,"cIAP1 protein remaining (3h post-dose, xenograft)",12.0,% of vehicle control,3.0,h,densitometry normalized to vehicle = 100%,approximate SEM (birinapant_qsp_biomarker_digitization.xlsx Recommended input),3.0,,,,figure_5,Figure 5,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Mice dosed twice at 48h interval, tumors harvested at 3h/6h/12h/24h after last dose; densitometry of cIAP1 band normalized to vehicle=100%; sustained depletion through 24h in both lines despite differing in vivo growth response Phenotype tier (in vitro): Resistant (in vitro); partial in vivo response."
obs_1205Lu_ciap1_xenograft_6h,1205lu_xenograft,1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,western_ciap_xenograft,cIAP1_protein_remaining_pct,"cIAP1 protein remaining (6h post-dose, xenograft)",23.0,% of vehicle control,6.0,h,densitometry normalized to vehicle = 100%,approximate SEM (birinapant_qsp_biomarker_digitization.xlsx Recommended input),20.0,,,,figure_5,Figure 5,B,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Mice dosed twice at 48h interval, tumors harvested at 3h/6h/12h/24h after last dose; densitometry of cIAP1 band normalized to vehicle=100%; sustained depletion through 24h in both lines despite differing in vivo growth response Phenotype tier (in vitro): Resistant (in vitro); partial in vivo response."
obs_1205Lu_ic50_alone,1205lu_in_vitro,1205lu_in_vitro__birinapant_alone_dose_response_72_h,mts_ic50,viability_IC50,IC50 (birinapant alone),,nM,72,h,IC50,,,,,,figure_1,Figure 1,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,True,1000.0,"Bar capped at 1000nM (assay ceiling); no numeric data label present, indicating IC50 not reached within tested range Phenotype tier: Resistant."
obs_1205Lu_ic50_tnf_combo,1205lu_in_vitro,1205lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,mts_ic50,viability_IC50,IC50 (birinapant + 1 ng/ml TNF-α),,nM,72,h,IC50,,,,,,figure_1,Figure 1,,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,True,1000.0,"Bar capped at 1000nM (assay ceiling); no numeric data label present, indicating IC50 not reached within tested range even with TNF-α co-treatment (this line classified 'resistant to combination') Phenotype tier: Resistant."
