figure,model,replicate,time_h,concentration_um,treatment,protein,raw_band_signal,loading_control_signal,normalized_to_loading,relative_to_vehicle
3A,451Lu_cell,,0,0,control,cIAP1,81.68975,138.47343,0.58993,1
3A,451Lu_cell,,0,0,control,XIAP,39.18102,138.47343,0.28295,1
3A,451Lu_cell,,1,0.1,1h_0.1uM,cIAP1,17.23361,140.58822,0.12258,0.20779
3A,451Lu_cell,,1,0.1,1h_0.1uM,XIAP,33.67059,140.58822,0.2395,0.84643
3A,451Lu_cell,,1,1,1h_1uM,cIAP1,10.8521,146.62041,0.07401,0.12546
3A,451Lu_cell,,1,1,1h_1uM,XIAP,43.4926,146.62041,0.29663,1.04836
3A,451Lu_cell,,1,10,1h_10uM,cIAP1,14.14588,147.18524,0.09611,0.16292
3A,451Lu_cell,,1,10,1h_10uM,XIAP,44.32903,147.18524,0.30118,1.06442
3A,451Lu_cell,,6,0.1,6h_0.1uM,cIAP1,11.31395,153.3222,0.07379,0.12509
3A,451Lu_cell,,6,0.1,6h_0.1uM,XIAP,22.34307,153.3222,0.14573,0.51503
3A,451Lu_cell,,6,1,6h_1uM,cIAP1,9.93647,149.13817,0.06663,0.11294
3A,451Lu_cell,,6,1,6h_1uM,XIAP,35.24137,149.13817,0.2363,0.83513
3A,451Lu_cell,,6,10,6h_10uM,cIAP1,12.07664,152.43061,0.07923,0.1343
3A,451Lu_cell,,6,10,6h_10uM,XIAP,50.79886,152.43061,0.33326,1.1778
3A,451Lu_cell,,24,0.1,24h_0.1uM,cIAP1,11.29916,155.89766,0.07248,0.12286
3A,451Lu_cell,,24,0.1,24h_0.1uM,XIAP,28.97002,155.89766,0.18583,0.65675
3A,451Lu_cell,,24,1,24h_1uM,cIAP1,6.12235,156.94655,0.03901,0.06612
3A,451Lu_cell,,24,1,24h_1uM,XIAP,51.14839,156.94655,0.3259,1.15178
3A,451Lu_cell,,24,10,24h_10uM,cIAP1,5.57513,139.9092,0.03985,0.06755
3A,451Lu_cell,,24,10,24h_10uM,XIAP,54.76053,139.9092,0.3914,1.38329
5B,451Lu_xenograft,1,0,,vehicle,cIAP1,34.91116,58.69434,0.5948,1.3292
5B,451Lu_xenograft,1,0,,vehicle,XIAP,66.15828,58.69434,1.12717,1.27903
5B,451Lu_xenograft,2,0,,vehicle,cIAP1,31.98837,106.56742,0.30017,0.6708
5B,451Lu_xenograft,2,0,,vehicle,XIAP,67.70944,106.56742,0.63537,0.72097
5B,451Lu_xenograft,1,3,,birinapant_30mgkg_IP,cIAP1,16.32047,119.36066,0.13673,0.30556
5B,451Lu_xenograft,1,3,,birinapant_30mgkg_IP,XIAP,52.01979,119.36066,0.43582,0.49454
5B,451Lu_xenograft,2,3,,birinapant_30mgkg_IP,cIAP1,22.22792,88.27023,0.25182,0.56274
5B,451Lu_xenograft,2,3,,birinapant_30mgkg_IP,XIAP,41.42962,88.27023,0.46935,0.53259
5B,451Lu_xenograft,1,6,,birinapant_30mgkg_IP,cIAP1,19.84347,110.31941,0.17987,0.40197
5B,451Lu_xenograft,1,6,,birinapant_30mgkg_IP,XIAP,67.29791,110.31941,0.61003,0.69222
5B,451Lu_xenograft,2,6,,birinapant_30mgkg_IP,cIAP1,15.20201,99.19196,0.15326,0.34249
5B,451Lu_xenograft,2,6,,birinapant_30mgkg_IP,XIAP,49.89203,99.19196,0.50298,0.57075
5B,451Lu_xenograft,1,12,,birinapant_30mgkg_IP,cIAP1,16.19408,123.58276,0.13104,0.29283
5B,451Lu_xenograft,1,12,,birinapant_30mgkg_IP,XIAP,59.51441,123.58276,0.48158,0.54646
5B,451Lu_xenograft,2,12,,birinapant_30mgkg_IP,cIAP1,14.08355,109.69434,0.12839,0.28691
5B,451Lu_xenograft,2,12,,birinapant_30mgkg_IP,XIAP,47.53759,109.69434,0.43336,0.49175
5B,451Lu_xenograft,1,24,,birinapant_30mgkg_IP,cIAP1,12.71232,153.60973,0.08276,0.18494
5B,451Lu_xenograft,1,24,,birinapant_30mgkg_IP,XIAP,67.51272,153.60973,0.43951,0.49872
5B,451Lu_xenograft,2,24,,birinapant_30mgkg_IP,cIAP1,16.51348,120.50978,0.13703,0.30622
5B,451Lu_xenograft,2,24,,birinapant_30mgkg_IP,XIAP,56.81854,120.50978,0.47148,0.53501
5B,1205Lu_xenograft,1,0,,vehicle,cIAP1,49.71444,84.10629,0.59109,1.21935
5B,1205Lu_xenograft,1,0,,vehicle,XIAP,70.59299,84.10629,0.83933,1.06951
5B,1205Lu_xenograft,2,0,,vehicle,cIAP1,49.1211,129.80328,0.37843,0.78065
5B,1205Lu_xenograft,2,0,,vehicle,XIAP,94.78575,129.80328,0.73023,0.93049
5B,1205Lu_xenograft,1,3,,birinapant_30mgkg_IP,cIAP1,29.35801,104.2073,0.28173,0.58117
5B,1205Lu_xenograft,1,3,,birinapant_30mgkg_IP,XIAP,88.87451,104.2073,0.85286,1.08676
5B,1205Lu_xenograft,2,3,,birinapant_30mgkg_IP,cIAP1,32.86621,98.85828,0.33246,0.68582
5B,1205Lu_xenograft,2,3,,birinapant_30mgkg_IP,XIAP,79.08875,98.85828,0.80002,1.01942
5B,1205Lu_xenograft,1,6,,birinapant_30mgkg_IP,cIAP1,34.96351,92.09942,0.37963,0.78313
5B,1205Lu_xenograft,1,6,,birinapant_30mgkg_IP,XIAP,63.41323,92.09942,0.68853,0.87736
5B,1205Lu_xenograft,2,6,,birinapant_30mgkg_IP,cIAP1,25.06716,148.85352,0.1684,0.34739
5B,1205Lu_xenograft,2,6,,birinapant_30mgkg_IP,XIAP,68.5636,148.85352,0.46061,0.58693
5B,1205Lu_xenograft,1,12,,birinapant_30mgkg_IP,cIAP1,32.21259,125.93919,0.25578,0.52764
5B,1205Lu_xenograft,1,12,,birinapant_30mgkg_IP,XIAP,78.78858,125.93919,0.62561,0.79718
