record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
gene_day_55_adam10_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,ADAM10_mRNA_log2_fold_change,ADAM10,-0.14,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: ECM remodeling. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_adam29_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,ADAM29_mRNA_log2_fold_change,ADAM29,-0.54,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: ECM remodeling. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_adam3a_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,ADAM3A_mRNA_log2_fold_change,ADAM3A,-0.41,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: ECM remodeling. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_adam5_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,ADAM5_mRNA_log2_fold_change,ADAM5,-0.83,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: ECM remodeling. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_angpt2_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,ANGPT2_mRNA_log2_fold_change,ANGPT2,-0.45,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: Angiogenesis. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_bmp2_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,BMP2_mRNA_log2_fold_change,BMP2,0.28,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: Osteoblastic activity. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_cd44_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,CD44_mRNA_log2_fold_change,CD44,-0.25,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: Cell adhesion. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_cdh11_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,CDH11_mRNA_log2_fold_change,CDH11,-0.4,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: Endothelial adherens junctions. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_cldn18_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,CLDN18_mRNA_log2_fold_change,CLDN18,-0.64,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: Endothelial tight junctions. Five treated samples versus three controls; no gene-level uncertainty is reported.
gene_day_55_cldn22_log2_change,mda_mb_231_bone_metastasis_rnu_rat,mda_mb_231_bone_metastasis_rnu_rat__cilengitide_25_mg_kg_days_30_55,humanht12_gene_expression,CLDN22_mRNA_log2_fold_change,CLDN22,-0.45,log2 fold change,55,d,treated-versus-control log2 change,,,5,log2-transformed microarray differential expression,sham-treated controls (n=3),paper,,,Table 1,,DIRECT_SOURCE,QUANTITATIVE,False,,Function annotation: Endothelial tight junctions. Five treated samples versus three controls; no gene-level uncertainty is reported.
