condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
ark_in_vitro_mm__bez235_dose_response_ic50_determination_48_h__step_1,ark_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,Dactolisib,,nM,0,48,h,1,"IC50-determining dose-response, 0-800 nmol/L range."
delta_47_in_vitro_mm__bez235_dose_response_ic50_determination_48_h__step_1,delta_47_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,Dactolisib,,nM,0,48,h,1,"IC50-determining dose-response, 0-800 nmol/L range."
dox40_in_vitro_mm__bez235_dose_response_ic50_determination_48_h__step_1,dox40_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,Dactolisib,,nM,0,48,h,1,"IC50-determining dose-response, 0-800 nmol/L range."
hs5_stromal_in_vitro__bez235_100_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_100_nm_48_h,Dactolisib,100.0,nM,0,48,h,1,
hs5_stromal_in_vitro__bez235_10_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_10_nm_48_h,Dactolisib,10.0,nM,0,48,h,1,
hs5_stromal_in_vitro__bez235_200_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_200_nm_48_h,Dactolisib,200.0,nM,0,48,h,1,
hs5_stromal_in_vitro__bez235_25_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_25_nm_48_h,Dactolisib,25.0,nM,0,48,h,1,
hs5_stromal_in_vitro__bez235_400_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_400_nm_48_h,Dactolisib,400.0,nM,0,48,h,1,
hs5_stromal_in_vitro__bez235_50_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_50_nm_48_h,Dactolisib,50.0,nM,0,48,h,1,
hs5_stromal_in_vitro__bez235_800_nm_48_h__step_1,hs5_stromal_in_vitro__bez235_800_nm_48_h,Dactolisib,800.0,nM,0,48,h,1,
hs5_stromal_in_vitro__vehicle_control_48_h__step_1,hs5_stromal_in_vitro__vehicle_control_48_h,Vehicle,,,0,48,h,1,
jjn3_in_vitro_mm__bez235_dose_response_ic50_determination_48_h__step_1,jjn3_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,Dactolisib,,nM,0,48,h,1,"IC50-determining dose-response, 0-800 nmol/L range."
