condition_key,context_key,condition_label,notes
ark_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ark_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
delta_47_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,delta_47_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
dox40_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,dox40_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
hs5_stromal_in_vitro__bez235_100_nm_48_h,hs5_stromal_in_vitro,"BEZ235 100 nM, 48 h",
hs5_stromal_in_vitro__bez235_10_nm_48_h,hs5_stromal_in_vitro,"BEZ235 10 nM, 48 h",
hs5_stromal_in_vitro__bez235_200_nm_48_h,hs5_stromal_in_vitro,"BEZ235 200 nM, 48 h",
hs5_stromal_in_vitro__bez235_25_nm_48_h,hs5_stromal_in_vitro,"BEZ235 25 nM, 48 h",
hs5_stromal_in_vitro__bez235_400_nm_48_h,hs5_stromal_in_vitro,"BEZ235 400 nM, 48 h",
hs5_stromal_in_vitro__bez235_50_nm_48_h,hs5_stromal_in_vitro,"BEZ235 50 nM, 48 h",
hs5_stromal_in_vitro__bez235_800_nm_48_h,hs5_stromal_in_vitro,"BEZ235 800 nM, 48 h",
hs5_stromal_in_vitro__vehicle_control_48_h,hs5_stromal_in_vitro,"Vehicle control, 48 h",
jjn3_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,jjn3_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_11_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_11_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_12_bm_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_12_bm_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_12_pe_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_12_pe_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_28_bm_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_28_bm_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_28_pe_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_28_pe_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_34_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_34_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
kms_5_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,kms_5_in_vitro_mm,"BEZ235 dose-response (IC50 determination), 48 h",
mm1s_bcl2_in_vitro__bez235_100_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 100 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__bez235_10_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 10 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__bez235_200_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 200 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__bez235_25_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 25 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__bez235_400_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 400 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__bez235_50_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 50 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__bez235_800_nm_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"BEZ235 800 nM, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_bcl2_in_vitro__vehicle_control_48_h_fig2b_bcl2_rescue_experiment,mm1s_bcl2_in_vitro,"Vehicle control, 48 h (Fig2B Bcl2-rescue experiment)",
mm1s_gfp_luc_xenograft__bez235_30_mg_kg_oral_daily,mm1s_gfp_luc_xenograft,BEZ235 30 mg/kg oral daily,
mm1s_gfp_luc_xenograft__vehicle_control_xenograft,mm1s_gfp_luc_xenograft,Vehicle control (xenograft),
mm1s_myr_akt_in_vitro__bez235_100_nm_48_h_fig2a_akt_rescue_experiment,mm1s_myr_akt_in_vitro,"BEZ235 100 nM, 48 h (Fig2A Akt-rescue experiment)",
mm1s_myr_akt_in_vitro__bez235_10_nm_48_h_fig2a_akt_rescue_experiment,mm1s_myr_akt_in_vitro,"BEZ235 10 nM, 48 h (Fig2A Akt-rescue experiment)",
mm1s_myr_akt_in_vitro__bez235_200_nm_48_h_fig2a_akt_rescue_experiment,mm1s_myr_akt_in_vitro,"BEZ235 200 nM, 48 h (Fig2A Akt-rescue experiment)",
mm1s_myr_akt_in_vitro__bez235_25_nm_48_h_fig2a_akt_rescue_experiment,mm1s_myr_akt_in_vitro,"BEZ235 25 nM, 48 h (Fig2A Akt-rescue experiment)",
