context_key,species,cell_line,cell_type,tissue,disease,culture_context,notes
ark_in_vitro_mm,Homo sapiens,ARK,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=27.64 nmol/L.
delta_47_in_vitro_mm,Homo sapiens,Delta 47,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=141.52 nmol/L.
dox40_in_vitro_mm,Homo sapiens,Dox40,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=19.78 nmol/L.
hs5_stromal_in_vitro,Homo sapiens,HS-5,bone marrow stromal cell,bone marrow,,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1C selectivity comparator; IC50 >800 nmol/L per text (therapeutic-index evidence).
jjn3_in_vitro_mm,Homo sapiens,JJN3,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=17.87 nmol/L.
kms_11_in_vitro_mm,Homo sapiens,KMS-11,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=54.71 nmol/L.
kms_12_bm_in_vitro_mm,Homo sapiens,KMS-12-BM,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=425.41 nmol/L.
kms_12_pe_in_vitro_mm,Homo sapiens,KMS-12-PE,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=40.05 nmol/L.
kms_28_bm_in_vitro_mm,Homo sapiens,KMS-28-BM,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay","Fig1A cell-line IC50 panel; IC50=None nmol/L (>800 nmol/L, censored)."
kms_28_pe_in_vitro_mm,Homo sapiens,KMS-28-PE,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay","Fig1A cell-line IC50 panel; IC50=None nmol/L (>800 nmol/L, censored)."
kms_34_in_vitro_mm,Homo sapiens,KMS-34,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=347.7 nmol/L.
kms_5_in_vitro_mm,Homo sapiens,KMS-5,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=515.04 nmol/L.
mm1s_bcl2_in_vitro,Homo sapiens,MM.1S-Bcl-2,multiple myeloma cell (engineered),bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, stable Bcl-2 overexpression, 48 h MTT viability assay","Fig2B genetic-rescue subline: Bcl-2 overexpression provides partial protection from BEZ235, producing a non-zero survival plateau (~32-38%) rather than a rightward IC50 shift alone -- the quantitative signature of a protected fraction (highest-value mechanistic data for a dual-target threshold PD equation)."
mm1s_gfp_luc_xenograft,Mus musculus,MM.1S-GFP/luc,human multiple myeloma xenograft,subcutaneous flank tumor,multiple myeloma,"human MM.1S-GFP/luc-cell xenograft in nude (immunodeficient) mice, subcutaneous implant",Fig5A-C in vivo efficacy model; BEZ235 30 mg/kg oral daily vs vehicle. No PK sampling reported for this in vivo arm.
mm1s_myr_akt_in_vitro,Homo sapiens,MM.1S-myrAkt,multiple myeloma cell (engineered),bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, stable myristoylated-Akt (constitutively active) overexpression, 48 h MTT viability assay","Fig2A genetic-rescue subline: myristoylated (constitutively active) Akt overexpression does NOT protect MM.1S cells from BEZ235 (curve tracks parental almost exactly, even slightly more sensitive)."
mm_1r_in_vitro_mm,Homo sapiens,MM.1R,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=24.64 nmol/L.
mm_1s_in_vitro_mm,Homo sapiens,MM.1S,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=22.78 nmol/L.
mr20_in_vitro_mm,Homo sapiens,MR20,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay","Fig1A cell-line IC50 panel; IC50=None nmol/L (>800 nmol/L, censored)."
nci_h929_in_vitro_mm,Homo sapiens,NCI-H929,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=31.81 nmol/L.
oci_my5_in_vitro_mm,Homo sapiens,OCI-MY5,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=623.3 nmol/L.
opm_2_in_vitro_mm,Homo sapiens,OPM-2,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=99.63 nmol/L.
opm_6_in_vitro_mm,Homo sapiens,OPM-6,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=112.16 nmol/L.
patient_1_resistant_primary_sample,Homo sapiens,Patient 1 (resistant),primary CD138-selected MM cell,bone marrow aspirate (primary patient sample),multiple myeloma,"ex vivo primary cell culture, CD138-selected, 48 h MTT viability assay",Fig1B primary patient sample; phenotype tier per text: resistant.
patient_2_resistant_primary_sample,Homo sapiens,Patient 2 (resistant),primary CD138-selected MM cell,bone marrow aspirate (primary patient sample),multiple myeloma,"ex vivo primary cell culture, CD138-selected, 48 h MTT viability assay",Fig1B primary patient sample; phenotype tier per text: resistant.
patient_3_sensitive_primary_sample,Homo sapiens,Patient 3 (sensitive),primary CD138-selected MM cell,bone marrow aspirate (primary patient sample),multiple myeloma,"ex vivo primary cell culture, CD138-selected, 48 h MTT viability assay",Fig1B primary patient sample; phenotype tier per text: sensitive.
patient_4_sensitive_primary_sample,Homo sapiens,Patient 4 (sensitive),primary CD138-selected MM cell,bone marrow aspirate (primary patient sample),multiple myeloma,"ex vivo primary cell culture, CD138-selected, 48 h MTT viability assay",Fig1B primary patient sample; phenotype tier per text: sensitive.
patient_5_most_sensitive_primary_sample,Homo sapiens,Patient 5 (most sensitive),primary CD138-selected MM cell,bone marrow aspirate (primary patient sample),multiple myeloma,"ex vivo primary cell culture, CD138-selected, 48 h MTT viability assay",Fig1B primary patient sample; phenotype tier per text: most sensitive.
pbmc_healthy_donor_pooled,Homo sapiens,"PBMC (healthy donors, pooled range)",peripheral blood mononuclear cell,peripheral blood,,"in vitro 2D cell culture, +/- PHA stimulation, 48 h MTT viability assay",Fig1D selectivity comparator; single representative range digitized for 8 tightly-clustered donor curves (4 donors x unstimulated/PHA-stimulated); individual donor curves not separable from the source figure. Text states all remained >=50% viable at 800 nmol/L BEZ235.
s6b45_in_vitro_mm,Homo sapiens,S6B45,multiple myeloma cell,bone marrow / peripheral blood (MM cell line),multiple myeloma,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1A cell-line IC50 panel; IC50=190.88 nmol/L.
thle3_hepatocyte_in_vitro,Homo sapiens,THLE-3,immortalized non-malignant hepatocyte,liver,,"in vitro 2D cell culture, 48 h MTT viability assay",Fig1C selectivity comparator; IC50 >800 nmol/L per text (therapeutic-index evidence).
