record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
fig1a_ark_ic50,ark_in_vitro_mm,ark_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, ARK",27.64,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_delta_47_ic50,delta_47_in_vitro_mm,delta_47_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, Delta 47",141.52,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_dox40_ic50,dox40_in_vitro_mm,dox40_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, Dox40",19.78,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_jjn3_ic50,jjn3_in_vitro_mm,jjn3_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, JJN3",17.87,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_kms_11_ic50,kms_11_in_vitro_mm,kms_11_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, KMS-11",54.71,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_kms_12_bm_ic50,kms_12_bm_in_vitro_mm,kms_12_bm_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, KMS-12-BM",425.41,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_kms_12_pe_ic50,kms_12_pe_in_vitro_mm,kms_12_pe_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, KMS-12-PE",40.05,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_kms_28_bm_ic50,kms_28_bm_in_vitro_mm,kms_28_bm_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, KMS-28-BM",,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,True,800.0,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_kms_28_pe_ic50,kms_28_pe_in_vitro_mm,kms_28_pe_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, KMS-28-PE",,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,True,800.0,Printed directly on the figure's heat map (not estimated from the color scale).
fig1a_kms_34_ic50,kms_34_in_vitro_mm,kms_34_in_vitro_mm__bez235_dose_response_ic50_determination_48_h,ic50_cellline_panel,viability_IC50,"BEZ235 IC50, KMS-34",347.7,nmol/L,48,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Printed directly on the figure's heat map (not estimated from the color scale).
