condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
a2780_dx_in_vitro__bez235_0_nm_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_0_nm_48_h_fig6_parp_blot,Vehicle,,,0,48,h,1,
a2780_dx_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,1,
a2780_dx_in_vitro__bez235_150_nm_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_150_nm_48_h_fig6_parp_blot,Dactolisib,150.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,150.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_dx_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__bez235_300_nm_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_300_nm_48_h_fig6_parp_blot,Dactolisib,300.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,300.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_dx_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot__step_1,a2780_dx_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,Dactolisib,50,nM,0,24,h,1,
a2780_dx_in_vitro__bez235_50_nm_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_50_nm_48_h_fig6_parp_blot,Dactolisib,50.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,50.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_dx_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__bez235_600_nm_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_600_nm_48_h_fig6_parp_blot,Dactolisib,600.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_dx_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,600.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_dx_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__bez_150nm_48_h_fig5d__step_1,a2780_dx_in_vitro__bez_150nm_48_h_fig5d,Dactolisib,150.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez_300nm_48_h_fig5d__step_1,a2780_dx_in_vitro__bez_300nm_48_h_fig5d,Dactolisib,300.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez_50nm_48_h_fig5d__step_1,a2780_dx_in_vitro__bez_50nm_48_h_fig5d,Dactolisib,50.0,nM,0,48,h,1,
a2780_dx_in_vitro__bez_600nm_48_h_fig5d__step_1,a2780_dx_in_vitro__bez_600nm_48_h_fig5d,Dactolisib,600.0,nM,0,48,h,1,
a2780_dx_in_vitro__control_48_h_fig5d__step_1,a2780_dx_in_vitro__control_48_h_fig5d,Vehicle,,,0,48,h,1,
a2780_dx_in_vitro__dox_0_5um_alone_48_h_fig5d__step_1,a2780_dx_in_vitro__dox_0_5um_alone_48_h_fig5d,Doxorubicin,0.5,uM,0,48,h,1,
a2780_dx_in_vitro__dox_bez_150nm_48_h_fig5d__step_1,a2780_dx_in_vitro__dox_bez_150nm_48_h_fig5d,Dactolisib,150.0,nM,0,48,h,1,
a2780_dx_in_vitro__dox_bez_150nm_48_h_fig5d__step_2,a2780_dx_in_vitro__dox_bez_150nm_48_h_fig5d,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__dox_bez_300nm_48_h_fig5d__step_1,a2780_dx_in_vitro__dox_bez_300nm_48_h_fig5d,Dactolisib,300.0,nM,0,48,h,1,
a2780_dx_in_vitro__dox_bez_300nm_48_h_fig5d__step_2,a2780_dx_in_vitro__dox_bez_300nm_48_h_fig5d,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__dox_bez_50nm_48_h_fig5d__step_1,a2780_dx_in_vitro__dox_bez_50nm_48_h_fig5d,Dactolisib,50.0,nM,0,48,h,1,
a2780_dx_in_vitro__dox_bez_50nm_48_h_fig5d__step_2,a2780_dx_in_vitro__dox_bez_50nm_48_h_fig5d,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__dox_bez_600nm_48_h_fig5d__step_1,a2780_dx_in_vitro__dox_bez_600nm_48_h_fig5d,Dactolisib,600.0,nM,0,48,h,1,
a2780_dx_in_vitro__dox_bez_600nm_48_h_fig5d__step_2,a2780_dx_in_vitro__dox_bez_600nm_48_h_fig5d,Doxorubicin,0.5,uM,0,48,h,2,
a2780_dx_in_vitro__doxorubicin_0_05_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_0_05_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.05,uM,0,48,h,1,
a2780_dx_in_vitro__doxorubicin_0_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_0_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.1,uM,0,48,h,1,
a2780_dx_in_vitro__doxorubicin_0_2_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_0_2_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.2,uM,0,48,h,1,
a2780_dx_in_vitro__doxorubicin_0_4_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_0_4_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.4,uM,0,48,h,1,
a2780_dx_in_vitro__doxorubicin_0_6_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_0_6_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.6,uM,0,48,h,1,
a2780_dx_in_vitro__doxorubicin_0_8_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_0_8_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,0.8,uM,0,48,h,1,
a2780_dx_in_vitro__doxorubicin_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__doxorubicin_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx,Doxorubicin,1.0,uM,0,48,h,1,
a2780_dx_in_vitro__vehicle_control_24_h_fig4c_ps6_blot__step_1,a2780_dx_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,Vehicle,,,0,24,h,1,
a2780_dx_in_vitro__vehicle_control_48_h_fig1c_pair_a2780_vs_a2780_dx__step_1,a2780_dx_in_vitro__vehicle_control_48_h_fig1c_pair_a2780_vs_a2780_dx,Vehicle,,,0,48,h,1,
a2780_in_vitro__bez235_0_nm_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_0_nm_48_h_fig6_parp_blot,Vehicle,,,0,48,h,1,
a2780_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,1,
a2780_in_vitro__bez235_150_nm_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_150_nm_48_h_fig6_parp_blot,Dactolisib,150.0,nM,0,48,h,1,
a2780_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,150.0,nM,0,48,h,1,
a2780_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_in_vitro__bez235_300_nm_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_300_nm_48_h_fig6_parp_blot,Dactolisib,300.0,nM,0,48,h,1,
a2780_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,300.0,nM,0,48,h,1,
a2780_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot__step_1,a2780_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,Dactolisib,50,nM,0,24,h,1,
a2780_in_vitro__bez235_50_nm_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_50_nm_48_h_fig6_parp_blot,Dactolisib,50.0,nM,0,48,h,1,
a2780_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,50.0,nM,0,48,h,1,
a2780_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
a2780_in_vitro__bez235_600_nm_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_600_nm_48_h_fig6_parp_blot,Dactolisib,600.0,nM,0,48,h,1,
a2780_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_1,a2780_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Dactolisib,600.0,nM,0,48,h,1,
a2780_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot__step_2,a2780_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,Doxorubicin,0.5,uM,0,48,h,2,
