record_id,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
fig1a_mia_dx_0.05um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_0_05_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0.05 uM (Fig1A)",105.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_0.1um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_0_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0.1 uM (Fig1A)",103.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_0.2um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_0_2_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0.2 uM (Fig1A)",96.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_0.4um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_0_4_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0.4 uM (Fig1A)",85.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_0.6um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_0_6_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0.6 uM (Fig1A)",84.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_0.8um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_0_8_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0.8 uM (Fig1A)",78.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_0um,mia_dx_in_vitro,mia_dx_in_vitro__vehicle_control_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 0 uM (Fig1A)",100.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_mia_dx_1.0um,mia_dx_in_vitro,mia_dx_in_vitro__doxorubicin_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, Mia-dx, DOX 1.0 uM (Fig1A)",75.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_miapaca2_0.05um,miapaca2_in_vitro,miapaca2_in_vitro__doxorubicin_0_05_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, MiaPaCa2, DOX 0.05 uM (Fig1A)",98.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
fig1a_miapaca2_0.1um,miapaca2_in_vitro,miapaca2_in_vitro__doxorubicin_0_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,dox_dose_response,pct_viable_cells,"% viable cells, MiaPaCa2, DOX 0.1 uM (Fig1A)",80.0,% viable cells vs control,48,h,percent viable cells vs untreated control,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Parental-vs-resistant pair: MiaPaCa2 (parental) vs Mia-dx (resistant). n replicates not stated per bar (error bars small per source).
