observation_key,assay_key,condition_key,value,unit,quality_class,uncertainty_type,uncertainty_value,notes
obs_1,fig1_docetaxel_dose,pc3_dox_0_fig1a,100,% viability (control=100),QUANTITATIVE,,,"PC3 docetaxel monotherapy, pixel-digitized"
obs_2,fig1_docetaxel_dose,pc3_dox_1_6_fig1a,79.5,% viability (control=100),QUANTITATIVE,,,"PC3 docetaxel monotherapy, pixel-digitized"
obs_3,fig1_docetaxel_dose,pc3_dox_39_fig1a,50,% viability (control=100),QUANTITATIVE,,,"PC3 docetaxel monotherapy, pixel-digitized"
obs_4,fig1_docetaxel_dose,pc3_dox_195_fig1a,30,% viability (control=100),QUANTITATIVE,,,"PC3 docetaxel monotherapy, pixel-digitized"
obs_5,fig1_docetaxel_dose,pc3_dox_977_fig1a,15,% viability (control=100),QUANTITATIVE,,,"PC3 docetaxel monotherapy, pixel-digitized"
obs_6,fig1_docetaxel_dose,pc3_rx_dox_0_fig1a,100,% viability (control=100),QUANTITATIVE,,,"PC3-Rx (resistant) docetaxel monotherapy"
obs_7,fig1_docetaxel_dose,pc3_rx_dox_1_6_fig1a,88,% viability (control=100),QUANTITATIVE,,,"PC3-Rx (resistant) docetaxel monotherapy, pixel-digitized"
obs_8,fig1_docetaxel_dose,pc3_rx_dox_39_fig1a,75,% viability (control=100),QUANTITATIVE,,,"PC3-Rx (resistant) docetaxel monotherapy, pixel-digitized"
obs_9,fig1_docetaxel_dose,pc3_rx_dox_195_fig1a,55,% viability (control=100),QUANTITATIVE,,,"PC3-Rx (resistant) docetaxel monotherapy, pixel-digitized"
obs_10,fig1_docetaxel_dose,pc3_rx_dox_977_fig1a,25,% viability (control=100),QUANTITATIVE,,,"PC3-Rx (resistant) docetaxel monotherapy, pixel-digitized"
obs_11,fig1_docetaxel_dose,du145_dox_0_fig1b,100,% viability (control=100),QUANTITATIVE,,,"DU145 docetaxel monotherapy"
obs_12,fig1_docetaxel_dose,du145_dox_1_6_fig1b,82,% viability (control=100),QUANTITATIVE,,,"DU145 docetaxel monotherapy, pixel-digitized"
obs_13,fig1_docetaxel_dose,du145_dox_39_fig1b,48,% viability (control=100),QUANTITATIVE,,,"DU145 docetaxel monotherapy, pixel-digitized"
obs_14,fig1_docetaxel_dose,du145_dox_195_fig1b,25,% viability (control=100),QUANTITATIVE,,,"DU145 docetaxel monotherapy, pixel-digitized"
obs_15,fig1_combo_dose,pc3_dox_vs6_0_fig1a,100,% viability (control=100),QUANTITATIVE,,,"PC3 vs-6063 + docetaxel combination"
obs_16,fig1_combo_dose,pc3_dox_vs6_1_6_fig1a,76.5,% viability (control=100),QUANTITATIVE,,,"PC3 vs-6063 + docetaxel combination, pixel-digitized"
obs_17,fig1_combo_dose,pc3_dox_vs6_39_fig1a,48,% viability (control=100),QUANTITATIVE,,,"PC3 vs-6063 + docetaxel combination, pixel-digitized"
obs_18,fig1_combo_dose,pc3_dox_vs6_195_fig1a,28,% viability (control=100),QUANTITATIVE,,,"PC3 vs-6063 + docetaxel combination, pixel-digitized"
obs_19,fig1_combo_dose,pc3_rx_dox_vs6_0_fig1a,100,% viability (control=100),QUANTITATIVE,,,"PC3-Rx vs-6063 + docetaxel combination"
obs_20,fig1_combo_dose,pc3_rx_dox_vs6_1_6_fig1a,69.5,% viability (control=100),QUANTITATIVE,,,"PC3-Rx vs-6063 + docetaxel combination, pixel-digitized"
obs_21,fig1_combo_dose,pc3_rx_dox_vs6_39_fig1a,30,% viability (control=100),QUANTITATIVE,,,"PC3-Rx vs-6063 + docetaxel combination, pixel-digitized"
obs_22,fig1_combo_dose,pc3_rx_dox_vs6_195_fig1a,12,% viability (control=100),QUANTITATIVE,,,"PC3-Rx vs-6063 + docetaxel combination, pixel-digitized"
obs_23,fig1_ic50,pc3_dox_ic50,28.7,ng/mL (IC50),QUANTITATIVE,,,"PC3 docetaxel IC50 - printed in legend (highest confidence)"
obs_24,fig1_ic50,pc3_dox_vs6_ic50,25.4,ng/mL (IC50),QUANTITATIVE,,,"PC3 docetaxel+vs-6063 IC50 - printed in legend (no significant shift)"
obs_25,fig1_ic50,pc3_rx_dox_ic50,1167.6,ng/mL (IC50),QUANTITATIVE,,,"PC3-Rx docetaxel IC50 - printed in legend (highest confidence, resistant phenotype)"
obs_26,fig1_ic50,pc3_rx_dox_vs6_ic50,15.6,ng/mL (IC50),QUANTITATIVE,,,"PC3-Rx docetaxel+vs-6063 IC50 - printed in legend (75-fold sensitization)"
