assay_key,paper_key,assay_type,assay_name,sample_type,measurement_platform,figure,panel,reported_time,reported_time_unit,replicate_count,notes
shao_cell_cycle,paper_PMID31561409,Flow cytometry (PI),"Fig1E-F cell cycle distribution, HuH7/PLC5",hepatocellular carcinoma cell line,"PI flow cytometry, 48h",Figure 1,E-F,48,h,,Visual bar-graph estimate.
shao_colony_formation,paper_PMID31561409,Colony formation assay,"Fig1C-D colony formation, HuH7/PLC5",hepatocellular carcinoma cell line,"Colony formation assay, 10-14 days",Figure 1,C-D,12,d,,"Visual bar-graph estimate, relative to 0 nM = 1.0."
shao_mtt_doseresponse,paper_PMID31561409,MTT viability assay,"Fig1A dinaciclib dose-response, 4 HCC lines",hepatocellular carcinoma cell line,"MTT viability assay, 72h",Figure 1,A,72,h,,Curve points visual estimate; IC50 values explicit/printed on figure.
shao_sirna_colony_rescue,paper_PMID31561409,Colony formation assay,"Fig5D-E CDK1/CDK9-overexpression colony-formation rescue, HuH7",hepatocellular carcinoma cell line (engineered),"Colony formation assay, 10-14 days",Figure 5,D-E,12,d,,"Text-derived approximate values ('~15% to ~28%') from Figure Annotations sheet, not a printed bar-chart table; treated as SEMI_QUANTITATIVE."
shao_sirna_wb,paper_PMID31561409,Western blot (densitometry),"Fig5A per-CDK siRNA knockdown target densitometry, HuH7",hepatocellular carcinoma cell line (siRNA-transfected),"Immunoblot, printed densitometry ratios",Figure 5,A,72,h,,"Four rows (CDK9, p-Rb, p-ATM, p-RNPII) are a flagged duplicate; see extraction_metadata.json."
shao_tunel,paper_PMID31561409,TUNEL assay,"Fig4D TUNEL apoptosis, HuH7 xenografts",HCC xenograft tumor section,"TUNEL fluorescence, ratio to vehicle control",Figure 4,D,,,,Visual bar-graph estimate; disagrees with Fig4B tumor-volume dose-response shape (see caveats).
shao_wb_baseline,paper_PMID31561409,Western blot (densitometry),"Fig1B baseline Rb/p-Rb/c-myc, 4 HCC lines",hepatocellular carcinoma cell line,"Immunoblot, GAPDH-normalized densitometry",Figure 1,B,,,,Explicit densitometry printed above each lane; baseline (no treatment).
shao_wb_survival_signaling,paper_PMID31561409,Western blot (densitometry),"Fig3B survival-signaling / apoptosis targets, HuH7/PLC5",hepatocellular carcinoma cell line,"Immunoblot, printed densitometry ratios",Figure 3,B,,,,Explicit densitometry printed below each lane; dose x time x cell-line grid.
shao_wb_target_engagement,paper_PMID31561409,Western blot (densitometry),"Fig3A target modulation (p-Rb, p-RNPII), HuH7/PLC5",hepatocellular carcinoma cell line,"Immunoblot, printed densitometry ratios",Figure 3,A,,,,Explicit densitometry printed below each lane; dose x time x cell-line grid. One flagged duplicate pair (see extraction_metadata.json).
shao_xenograft_tumor_volume,paper_PMID31561409,Caliper tumor size,Fig4B/4E xenograft tumor volume,HCC xenograft tumor,"Caliper measurement, mm3",Figure 4,"B, E",,,,Visual curve digitization; p<0.05 vs vehicle at endpoint stated in text.
xu_apoptosis_rescue,paper_PMID31349793,Hoechst 33258 / Annexin V staining,"Fig2D/F, Fig4E-F, Fig5G apoptosis-rescue bar charts",hepatocellular carcinoma cell line (engineered),Hoechst 33258 staining / Annexin V-PI flow cytometry,"Figure 2, 4, 5","D/F, E-F, G",,,,"Text-derived approximate magnitudes ('roughly halves', '~65%->~15%', 'roughly in half') from Figure Annotations sheet notes, not printed bar-chart tables; SEMI_QUANTITATIVE."
xu_growth_rescue,paper_PMID31349793,CellTiter viability assay,"Fig2A-B CCNE1-overexpression growth/survival rescue, Huh7",hepatocellular carcinoma cell line (engineered),"CellTiter viability assay, 0-24h",Figure 2,A-B,24,h,,Text-derived approximate fold-change ('~1.7x') from Figure Annotations sheet.
xu_km_survival,paper_PMID31349793,Kaplan-Meier survival (TCGA/KM-plotter),Fig1B overall survival by CCNE1 expression,TCGA HCC patient cohort,KM-plotter analysis of TCGA RNA-seq,Figure 1,B,,,,HR and log-rank P printed directly on the plot.
xu_luciferase_reporter,paper_PMID31349793,Luciferase reporter assay,"Fig5E Mcl-1-promoter luciferase reporter, Huh7",hepatocellular carcinoma cell line (engineered),Dual-luciferase reporter assay,Figure 5,E,,,,Text-derived approximate fold-change ('~4x') from Figure Annotations sheet.
xu_survival_timecourse,paper_PMID31349793,MTT/viability assay,"Fig3A cell survival vs time, Huh7/HepG2, 50 nM dinaciclib",hepatocellular carcinoma cell line,"MTT/viability assay, pixel-digitized time course",Figure 3,A,,,,"Clean 2-curve chart, pixel-digitized from the companion annotation workbook's Digitized Data sheet."
xu_xenograft_tumor_volume,paper_PMID31349793,Caliper tumor size,"Fig6A in vivo tumor volume, Huh7 xenograft, 4-arm combination",HCC xenograft tumor,"Caliper measurement, mm3, pixel-digitized",Figure 6,A,,,,Pixel-digitized from the companion annotation workbook's Digitized Data sheet; the paper's central in vivo combination-sensitization dataset.
