condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
hep3b_shao_in_vitro__baseline_no_treatment__step_1,hep3b_shao_in_vitro__baseline_no_treatment,Vehicle,,,,,,1,Untreated baseline comparison across cell lines.
hep3b_shao_in_vitro__dinaciclib_100_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_100_nm_72_h,Dinaciclib,100.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_10_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_10_nm_72_h,Dinaciclib,10.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_15_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_15_nm_72_h,Dinaciclib,15.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_20_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_20_nm_72_h,Dinaciclib,20.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_25_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_25_nm_72_h,Dinaciclib,25.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_30_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_30_nm_72_h,Dinaciclib,30.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_50_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_50_nm_72_h,Dinaciclib,50.0,nM,0,72,h,1,
hep3b_shao_in_vitro__dinaciclib_5_nm_72_h__step_1,hep3b_shao_in_vitro__dinaciclib_5_nm_72_h,Dinaciclib,5.0,nM,0,72,h,1,
hep3b_shao_in_vitro__vehicle_control_72_h__step_1,hep3b_shao_in_vitro__vehicle_control_72_h,Vehicle,,,0,72,h,1,
hep3b_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response__step_1,hep3b_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,Vehicle,,,0,72,h,1,
