condition_key,context_key,condition_label,notes
hep3b_shao_in_vitro__baseline_no_treatment,hep3b_shao_in_vitro,Baseline (no treatment),
hep3b_shao_in_vitro__dinaciclib_100_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 100 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_10_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 10 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_15_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 15 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_20_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 20 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_25_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 25 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_30_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 30 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_50_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 50 nM, 72 h",
hep3b_shao_in_vitro__dinaciclib_5_nm_72_h,hep3b_shao_in_vitro,"Dinaciclib 5 nM, 72 h",
hep3b_shao_in_vitro__vehicle_control_72_h,hep3b_shao_in_vitro,"Vehicle control, 72 h",
hep3b_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,hep3b_shao_in_vitro,"Vehicle control, 72 h (IC50-determining dose-response)",
hepg2_xu_in_vitro__hepg2_control_0h,hepg2_xu_in_vitro,"HepG2 Control, 0h",
hepg2_xu_in_vitro__hepg2_control_12h,hepg2_xu_in_vitro,"HepG2 Control, 12h",
hepg2_xu_in_vitro__hepg2_control_24h,hepg2_xu_in_vitro,"HepG2 Control, 24h",
hepg2_xu_in_vitro__hepg2_control_6h,hepg2_xu_in_vitro,"HepG2 Control, 6h",
hepg2_xu_in_vitro__hepg2_dinaciclib_50_nm_0h,hepg2_xu_in_vitro,"HepG2 Dinaciclib 50 nM, 0h",
