context_key,species,cell_line,cell_type,tissue,disease,culture_context,notes
hep3b_shao_in_vitro,Homo sapiens,Hep3B,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Shao et al. 4-line panel; Fig1A IC50=15.6 nM (least sensitive by MTT).
hep3b_xu_in_vitro,Homo sapiens,Hep3B,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,"Xu et al. 6-line panel; CCNE1-high group per Fig1C western blot. Same cell line as Shao et al.'s Hep3B, kept as a distinct per-paper context (separate assay/condition provenance); see README for the capitalization/reuse convention across the two papers."
hepg2_xu_in_vitro,Homo sapiens,HepG2,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Xu et al. 6-line panel; CCNE1-low group per Fig1C western blot.
hle_shao_in_vitro,Homo sapiens,HLE,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Shao et al. 4-line panel; Fig1A IC50=9.7 nM.
huh7_ccne1_plasmid_xu,Homo sapiens,Huh7,hepatocellular carcinoma cell (engineered),liver,hepatocellular carcinoma,"in vitro 2D cell culture, transient CCNE1-overexpression plasmid transfection","Xu Fig2A-F CCNE1-overexpression rescue subline: accelerates growth, right-shifts sorafenib/regorafenib IC50, roughly halves drug-induced apoptosis."
huh7_control_plasmid_xu,Homo sapiens,Huh7,hepatocellular carcinoma cell (control-plasmid transfected),liver,hepatocellular carcinoma,"in vitro 2D cell culture, transient control-plasmid transfection",Xu Fig2A-F genetic-rescue control arm.
huh7_mcl1_oe_xu,Homo sapiens,Huh7,hepatocellular carcinoma cell (engineered),liver,hepatocellular carcinoma,"in vitro 2D cell culture, stable/transient Mcl-1-overexpression plasmid transfection",Xu Fig4E-F Mcl-1-overexpression rescue: blunts dinaciclib+regorafenib-induced apoptosis (~65%->~15%).
huh7_shao_in_vitro,Homo sapiens,HuH7,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Shao et al. 4-line panel; Fig1A IC50=8.5 nM; high baseline Rb/p-Rb (Fig1B).
huh7_shao_sirna_hcc,Homo sapiens,HuH7,hepatocellular carcinoma cell (siRNA-transfected),liver,hepatocellular carcinoma,"in vitro 2D cell culture, 72h post-siRNA transfection",Shao Fig5A-E per-CDK knockdown/overexpression deconvolution panel.
huh7_shao_xenograft,Mus musculus,HuH7,hepatocellular carcinoma xenograft,subcutaneous flank tumor,hepatocellular carcinoma,"HuH7-cell xenograft in BALB/c nude mice, dinaciclib 20/40 mg/kg IP 3x/week vs vehicle","Shao Fig4B (tumor volume), Fig4D (TUNEL)."
huh7_stat3_oe_xu,Homo sapiens,Huh7,hepatocellular carcinoma cell (engineered),liver,hepatocellular carcinoma,"in vitro 2D cell culture, transient STAT3-overexpression plasmid transfection",Xu Fig5E-G STAT3-overexpression rescue: ~4x's Mcl-1-promoter luciferase reporter activity; cuts flavopiridol-induced apoptosis roughly in half.
huh7_xu_in_vitro,Homo sapiens,Huh7,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Xu et al. 6-line panel; CCNE1-low group per Fig1C western blot.
huh7_xu_xenograft,Mus musculus,Huh7,hepatocellular carcinoma xenograft,subcutaneous flank tumor,hepatocellular carcinoma,"Huh7-cell xenograft in BALB/c nude mice, dinaciclib 30 mg/kg IP QOD +/- regorafenib 20 mg/kg oral QD, 4-arm design","Xu Fig6A-E; combination in vivo efficacy, the paper's central sensitization argument."
plc5_shao_in_vitro,Homo sapiens,PLC5,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Shao et al. 4-line panel; Fig1A IC50=11.8 nM; low baseline c-myc (Fig1B).
plc5_shao_xenograft,Mus musculus,PLC5,hepatocellular carcinoma xenograft,subcutaneous flank tumor,hepatocellular carcinoma,"PLC5-cell xenograft in BALB/c nude mice, dinaciclib 20/40 mg/kg IP vs sorafenib 15 mg/kg/d oral vs vehicle","Shao Fig4E; second in vivo model, direct potency benchmark vs sorafenib."
skhep1_xu_in_vitro,Homo sapiens,SK-Hep1,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Xu et al. 6-line panel; CCNE1-high group per Fig1C western blot -- right-shifted (more resistant) sorafenib/regorafenib curves (Fig1D-E).
snu398_xu_in_vitro,Homo sapiens,SNU398,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Xu et al. 6-line panel; CCNE1-high group per Fig1C western blot -- right-shifted (more resistant) sorafenib/regorafenib curves (Fig1D-E).
snu475_xu_in_vitro,Homo sapiens,SNU475,hepatocellular carcinoma cell,liver,hepatocellular carcinoma,in vitro 2D cell culture,Xu et al. 6-line panel; CCNE1-low group per Fig1C western blot.
tcga_hcc_ccne1_cohort,Homo sapiens,,patient tumor tissue (TCGA/KM-plotter cohort),liver tumor,hepatocellular carcinoma,"TCGA RNA-seq cohort, KM-plotter overall-survival analysis stratified by CCNE1 expression (high vs low)","Xu Fig1A-B population-level biomarker analysis; Tier 0 baseline covariate, not a dinaciclib PD response."
