figure,panel,cell_line_or_group,target_or_observable,qualitative_result,reason_not_quantifiable
Shao Fig 2A-F,,"HuH7, PLC5","Sub-G1 apoptosis, DNA fragmentation ELISA, Annexin V/PI flow",Dose-dependent increase (source workbook Summary sheet: SKIPPED),"Not in the supplied dinaciclib_HCC_extracted.xlsx workbook's extracted figure list (explicitly marked 'Skipped, deprioritized for time' on its Summary sheet); no digitized numbers available for these panels in either supplied workbook."
Shao Fig 4A,A,HuH7 xenograft,Representative tumor photographs,n/a,"Photographic image only, not quantifiable."
Shao Fig 4C,C,HuH7 xenograft mice,Body weight,"Stable / no significant change (tolerability, not PD)","Tolerability surrogate, not a PD endpoint; source workbook explicitly skips it."
Shao Fig 4F,F,PLC5 xenograft mice,Body weight,"Stable / no significant change (tolerability, not PD)","Tolerability surrogate, not a PD endpoint; source workbook explicitly skips it."
Shao Fig 5B-C,B-C,HuH7,"Relative colony formation, siRNA individual/composite knockdowns",CDK1 and CDK9 knockdown each significantly reduce colony formation (p<0.05); CDK2 and CDK5 knockdown do not (n.s.),"No printed bar-chart y-values in either supplied workbook, only significance annotations (n.s./*) described in the Figure Annotations sheet; supports the CDK9~CDK1>>CDK2~CDK5 weighting conclusion qualitatively."
Xu Fig 1A,A,TCGA cohort (371 tumor vs 50 normal),CCNA1/CCND1/CCNE1 mRNA expression box plots,Only CCNE1 significantly upregulated in tumor vs normal (**); CCNA1/CCND1 not different,Box-plot quartile values not printed or digitized in supplied materials.
Xu Fig 1C,C,"Huh7, SNU475, HepG2, SK-Hep1, SNU398, Hep3B",CCNA1/CCND1/CCNE1/Actin western blot,"Splits lines into CCNE1-high (SK-Hep1, SNU398, Hep3B) vs CCNE1-low (Huh7, HepG2, SNU475)",No densitometry printed; qualitative high/low split used as the context_alterations grouping instead.
Xu Fig 1D-E,D-E,6-line panel,% survival vs sorafenib (D) / regorafenib (E) dose-response curves,CCNE1-high lines show right-shifted (more resistant) curves -- core premise of the paper,Log[M] x-axis without fine enough gridline detail for confident pixel calibration in this pass (per companion MOA doc Section 5); not present as digitized points in the Digitized Data sheet either. Flagged for manual digitization if exact curves are needed.
Xu Fig 2A,A,Huh7 Control-plasmid vs CCNE1-plasmid,"PI-staining cell-cycle histogram, 0/12h",CCNE1 overexpression accelerates G1->S transit,"Representative histogram image only, no phase percentages printed."
Xu Fig 2C,C,Huh7 Control-plasmid vs CCNE1-plasmid,"IC50 (uM) bar chart, sorafenib/regorafenib",CCNE1 overexpression significantly right-shifts IC50 (**),"IC50 bar-chart y-values not printed or digitized in supplied materials; dose-response curves on log[M] axis, same limitation as Fig1D-E."
Xu Fig 2E,E,Huh7 Control-plasmid vs CCNE1-plasmid,"Cyclin E1, cleaved caspase-8/3 western blot",Caspase-8/3 cleavage visibly suppressed in CCNE1-overexpressing lanes,No densitometry printed.
Xu Fig 3B,B,Huh7,"PI-staining cell-cycle histogram, 50 nM dinaciclib",G1/S arrest and increased hypodiploid (sub-G1) fraction (text statement),"Representative histogram only, no phase percentages printed; per MOA doc, qualitative validation only for this panel."
Xu Fig 3C-D,C-D,"Huh7, HepG2","% apoptosis (Hoechst), Annexin V+ %, time course","Increases over 0-24h, 50 nM dinaciclib",No printed bar-chart y-values in either supplied workbook.
Xu Fig 3E,E,Huh7,"Cyclin E1, cleaved caspase-8/3 western blot vs time","Confirms dinaciclib does NOT change cyclin E1 expression -- the key evidence CCNE1 is a resistance biomarker, not a dinaciclib PD target","No densitometry printed; this panel's conclusion is captured structurally instead by treating CCNE1 as a context_alterations covariate, not a dinaciclib-modulated observable."
Xu Fig 3F-G,F-G,"Huh7, HepG2","% apoptosis, dinaciclib/flavopiridol +/- regorafenib/sorafenib",Combination apoptosis roughly 2x either single agent -- paper's central sensitization claim,"No printed bar-chart y-values in either supplied workbook; only the qualitative '~2x' magnitude is stated in the Figure Annotations sheet, without which specific arm values it compares."
Xu Fig 4A,A,Huh7,"Mcl-1, Bim, PUMA, Noxa, Bad, Bax, Bcl-XL, Bcl-2 western blot vs time",Only Mcl-1 (down) and Bim (up/cleaved) change appreciably; other 6 Bcl-2-family members flat,No densitometry printed.
Xu Fig 4B-C,B-C,Huh7 CCNE1-OE / CCNE1-knockdown,"Bim, Mcl-1 western blot +/- regorafenib",CCNE1 overexpression relieves regorafenib-induced Mcl-1 suppression; CCNE1 knockdown enhances it,No densitometry printed.
Xu Fig 4D,D,Huh7,"Mcl-1 western blot, Din x regorafenib x sorafenib combinations",Din+Reg shows strongest Mcl-1 suppression of all combinations tested,No densitometry printed.
Xu Fig 4F,F,Huh7 Control-plasmid vs Mcl-1-plasmid,"Cleaved caspase-3, Mcl-1 western blot +/- Din+regorafenib",Corroborates the Fig4E apoptosis rescue at the protein level,No densitometry printed; Fig4E's bar-chart magnitude is captured numerically instead (see observations.csv).
Xu Fig 5A-B,A-B,Huh7,Mcl-1 mRNA qPCR (A); Mcl-1 protein +/- cycloheximide chase (B),"CHX pretreatment does NOT accelerate Mcl-1 loss -> dinaciclib blocks Mcl-1 transcription, not protein degradation","qPCR bar-chart y-values not printed or digitized; mechanistically important structural constraint (transcription-rate term, not turnover term) captured in extraction_metadata.json caveats instead."
Xu Fig 5C-D,C-D,Huh7,p-STAT3/STAT3 western blot vs time; STAT3-Mcl1 promoter ChIP-PCR,p-STAT3 drops with dinaciclib exposure; reduced STAT3 binding to Mcl-1 promoter,No densitometry or ChIP-qPCR fold-enrichment values printed.
Xu Fig 5F,F,Huh7 Control-plasmid vs STAT3-plasmid,"STAT3, cleaved caspase-3, Mcl-1 western blot",Corroborates the Fig5G apoptosis rescue at the protein level,No densitometry printed; Fig5G's approximate magnitude is captured numerically instead (see observations.csv).
