record_id,paper_key,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
shao_fig1a_hep3b_0nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__vehicle_control_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 0 nM dinaciclib, 72h",100.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_100nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_100_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 100 nM dinaciclib, 72h",24.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_10nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_10_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 10 nM dinaciclib, 72h",78.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_15nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_15_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 15 nM dinaciclib, 72h",62.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_20nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_20_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 20 nM dinaciclib, 72h",50.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_25nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_25_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 25 nM dinaciclib, 72h",42.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_30nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_30_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 30 nM dinaciclib, 72h",32.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_50nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_50_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 50 nM dinaciclib, 72h",28.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_5nm,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__dinaciclib_5_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, Hep3B, 5 nM dinaciclib, 72h",97.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hep3b_ic50,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,shao_mtt_doseresponse,viability_IC50,"Dinaciclib IC50, Hep3B, 72h MTT",15.6,nM,72,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit IC50 stated directly on the figure panel (preferred over back-calculation). Independent of baseline Rb/p-Rb/c-myc expression level (see Fig1B) -- a clean negative-covariate finding.
