condition_key,context_key,condition_label,notes
skov3_onc201_0_72h_fig1a,skov3_in_vitro,"ONC201 0 uM, 72h (Fig1A)",
skov3_onc201_0.01_72h_fig1a,skov3_in_vitro,"ONC201 0.01 uM, 72h (Fig1A)",
skov3_onc201_0.1_72h_fig1a,skov3_in_vitro,"ONC201 0.1 uM, 72h (Fig1A)",
skov3_onc201_1_72h_fig1a,skov3_in_vitro,"ONC201 1 uM, 72h (Fig1A)",
skov3_onc201_10_72h_fig1a,skov3_in_vitro,"ONC201 10 uM, 72h (Fig1A)",
skov3_onc201_100_72h_fig1a,skov3_in_vitro,"ONC201 100 uM, 72h (Fig1A)",
skov3_onc201_ic50_fig1a,skov3_in_vitro,ONC201 IC50 (Fig1A),Explicit from figure table
ovcar3_onc201_0_72h_fig1a,ovcar3_in_vitro,"ONC201 0 uM, 72h (Fig1A)",
ovcar3_onc201_0.01_72h_fig1a,ovcar3_in_vitro,"ONC201 0.01 uM, 72h (Fig1A)",
ovcar3_onc201_0.1_72h_fig1a,ovcar3_in_vitro,"ONC201 0.1 uM, 72h (Fig1A)",
ovcar3_onc201_1_72h_fig1a,ovcar3_in_vitro,"ONC201 1 uM, 72h (Fig1A)",
ovcar3_onc201_10_72h_fig1a,ovcar3_in_vitro,"ONC201 10 uM, 72h (Fig1A)",
ovcar3_onc201_100_72h_fig1a,ovcar3_in_vitro,"ONC201 100 uM, 72h (Fig1A)",
ovcar3_onc201_ic50_fig1a,ovcar3_in_vitro,ONC201 IC50 (Fig1A),Explicit from figure table
igrov_1_onc201_0_72h_fig1a,igrov_1_in_vitro,"ONC201 0 uM, 72h (Fig1A)",
igrov_1_onc201_0.01_72h_fig1a,igrov_1_in_vitro,"ONC201 0.01 uM, 72h (Fig1A)",
igrov_1_onc201_0.1_72h_fig1a,igrov_1_in_vitro,"ONC201 0.1 uM, 72h (Fig1A)",
igrov_1_onc201_1_72h_fig1a,igrov_1_in_vitro,"ONC201 1 uM, 72h (Fig1A)",
igrov_1_onc201_10_72h_fig1a,igrov_1_in_vitro,"ONC201 10 uM, 72h (Fig1A)",
igrov_1_onc201_100_72h_fig1a,igrov_1_in_vitro,"ONC201 100 uM, 72h (Fig1A)",
igrov_1_onc201_ic50_fig1a,igrov_1_in_vitro,ONC201 IC50 (Fig1A),Explicit from figure table
ovcar5_onc201_0_72h_fig1a,ovcar5_in_vitro,"ONC201 0 uM, 72h (Fig1A)",
ovcar5_onc201_0.01_72h_fig1a,ovcar5_in_vitro,"ONC201 0.01 uM, 72h (Fig1A)",
ovcar5_onc201_0.1_72h_fig1a,ovcar5_in_vitro,"ONC201 0.1 uM, 72h (Fig1A)",
ovcar5_onc201_1_72h_fig1a,ovcar5_in_vitro,"ONC201 1 uM, 72h (Fig1A)",
ovcar5_onc201_10_72h_fig1a,ovcar5_in_vitro,"ONC201 10 uM, 72h (Fig1A)",
ovcar5_onc201_100_72h_fig1a,ovcar5_in_vitro,"ONC201 100 uM, 72h (Fig1A)",
ovcar5_onc201_ic50_fig1a,ovcar5_in_vitro,ONC201 IC50 (Fig1A),Explicit from figure table
ovcar5_onc201_0_fig1b,ovcar5_in_vitro,ONC201 0 uM (Fig1B),
ovcar5_onc201_1_fig1b,ovcar5_in_vitro,ONC201 1 uM (Fig1B),
ovcar5_onc201_10_fig1b,ovcar5_in_vitro,ONC201 10 uM (Fig1B),
