observation_key,assay_key,condition_key,value,unit,quality_class,uncertainty_type,uncertainty_value,notes
obs_1,fig1a_mtt,skov3_onc201_0_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_2,fig1a_mtt,skov3_onc201_0.01_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_3,fig1a_mtt,skov3_onc201_0.1_72h_fig1a,0.9,relative (1.0=control),QUANTITATIVE,,,
obs_4,fig1a_mtt,skov3_onc201_1_72h_fig1a,0.8,relative (1.0=control),QUANTITATIVE,,,
obs_5,fig1a_mtt,skov3_onc201_10_72h_fig1a,0.45,relative (1.0=control),QUANTITATIVE,,,
obs_6,fig1a_mtt,skov3_onc201_100_72h_fig1a,0.18,relative (1.0=control),QUANTITATIVE,,,
obs_7,fig1a_mtt,skov3_onc201_ic50_fig1a,5.2,uM,QUANTITATIVE,,,Explicit from figure.
obs_8,fig1a_mtt,ovcar3_onc201_0_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_9,fig1a_mtt,ovcar3_onc201_0.01_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_10,fig1a_mtt,ovcar3_onc201_0.1_72h_fig1a,0.9,relative (1.0=control),QUANTITATIVE,,,
obs_11,fig1a_mtt,ovcar3_onc201_1_72h_fig1a,0.85,relative (1.0=control),QUANTITATIVE,,,
obs_12,fig1a_mtt,ovcar3_onc201_10_72h_fig1a,0.52,relative (1.0=control),QUANTITATIVE,,,
obs_13,fig1a_mtt,ovcar3_onc201_100_72h_fig1a,0.32,relative (1.0=control),QUANTITATIVE,,,
obs_14,fig1a_mtt,ovcar3_onc201_ic50_fig1a,4.8,uM,QUANTITATIVE,,,Explicit from figure.
obs_15,fig1a_mtt,igrov_1_onc201_0_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_16,fig1a_mtt,igrov_1_onc201_0.01_72h_fig1a,1.05,relative (1.0=control),QUANTITATIVE,,,
obs_17,fig1a_mtt,igrov_1_onc201_0.1_72h_fig1a,0.95,relative (1.0=control),QUANTITATIVE,,,
obs_18,fig1a_mtt,igrov_1_onc201_1_72h_fig1a,0.88,relative (1.0=control),QUANTITATIVE,,,
obs_19,fig1a_mtt,igrov_1_onc201_10_72h_fig1a,0.55,relative (1.0=control),QUANTITATIVE,,,
obs_20,fig1a_mtt,igrov_1_onc201_100_72h_fig1a,0.3,relative (1.0=control),QUANTITATIVE,,,
obs_21,fig1a_mtt,igrov_1_onc201_ic50_fig1a,5.1,uM,QUANTITATIVE,,,Explicit from figure.
obs_22,fig1a_mtt,ovcar5_onc201_0_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_23,fig1a_mtt,ovcar5_onc201_0.01_72h_fig1a,1.0,relative (1.0=control),QUANTITATIVE,,,
obs_24,fig1a_mtt,ovcar5_onc201_0.1_72h_fig1a,0.9,relative (1.0=control),QUANTITATIVE,,,
obs_25,fig1a_mtt,ovcar5_onc201_1_72h_fig1a,0.85,relative (1.0=control),QUANTITATIVE,,,
obs_26,fig1a_mtt,ovcar5_onc201_10_72h_fig1a,0.52,relative (1.0=control),QUANTITATIVE,,,
obs_27,fig1a_mtt,ovcar5_onc201_100_72h_fig1a,0.3,relative (1.0=control),QUANTITATIVE,,,
obs_28,fig1a_mtt,ovcar5_onc201_ic50_fig1a,4.9,uM,QUANTITATIVE,,,Explicit from figure.
obs_29,fig1b_colony,ovcar5_onc201_0_fig1b,460,colony count,QUANTITATIVE,,,
obs_30,fig1b_colony,ovcar5_onc201_1_fig1b,390,colony count,QUANTITATIVE,,,Visual est.
obs_31,fig1b_colony,ovcar5_onc201_1_fig1b,4.8,% reduction,QUANTITATIVE,,,Explicit from text.
obs_32,fig1b_colony,ovcar5_onc201_10_fig1b,170,colony count,QUANTITATIVE,,,Visual est.
obs_33,fig1b_colony,ovcar5_onc201_10_fig1b,58.3,% reduction,QUANTITATIVE,,,Explicit from text.
obs_34,fig1b_colony,ovcar5_onc201_100_fig1b,70,colony count,QUANTITATIVE,,,Visual est.
obs_35,fig1b_colony,ovcar5_onc201_100_fig1b,79.75,% reduction,QUANTITATIVE,,,Explicit from text.
obs_36,fig1b_colony,skov3_onc201_0_fig1b,420,colony count,QUANTITATIVE,,,
obs_37,fig1b_colony,skov3_onc201_1_fig1b,330,colony count,QUANTITATIVE,,,Visual est.
obs_38,fig1b_colony,skov3_onc201_1_fig1b,22.2,% reduction,QUANTITATIVE,,,Explicit from text.
obs_39,fig1b_colony,skov3_onc201_10_fig1b,110,colony count,QUANTITATIVE,,,Visual est.
obs_40,fig1b_colony,skov3_onc201_10_fig1b,57.5,% reduction,QUANTITATIVE,,,Explicit from text.
obs_41,fig1b_colony,skov3_onc201_100_fig1b,50,colony count,QUANTITATIVE,,,Visual est.
obs_42,fig1b_colony,skov3_onc201_100_fig1b,86.1,% reduction,QUANTITATIVE,,,Explicit from text.
obs_43,fig2_cellcycle,skov3_onc201_0_36h_fig2,56.89,% G1 phase,QUANTITATIVE,,,Explicit from histograms.
obs_44,fig2_cellcycle,skov3_onc201_0_36h_fig2,21.2,% S phase,QUANTITATIVE,,,Explicit from histograms.
obs_45,fig2_cellcycle,skov3_onc201_0_36h_fig2,21.91,% G2 phase,QUANTITATIVE,,,Explicit from histograms.
