condition_key,context_key,condition_label,notes
mda_mb_231_txsa_evofosf_0.0_21%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 0.0 umol/L, 21%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_5.0_21%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 5.0 umol/L, 21%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_10.0_21%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 10.0 umol/L, 21%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_25.0_21%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 25.0 umol/L, 21%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_0.0_5%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 0.0 umol/L, 5%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_5.0_5%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 5.0 umol/L, 5%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_10.0_5%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 10.0 umol/L, 5%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_25.0_5%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 25.0 umol/L, 5%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_0.0_1%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 0.0 umol/L, 1%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_5.0_1%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 5.0 umol/L, 1%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_10.0_1%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 10.0 umol/L, 1%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_25.0_1%o2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 25.0 umol/L, 1%% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_0.0_Anoxiao2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 0.0 umol/L, Anoxia% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_5.0_Anoxiao2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 5.0 umol/L, Anoxia% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_10.0_Anoxiao2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 10.0 umol/L, Anoxia% O2, 24h (Fig1B)",
mda_mb_231_txsa_evofosf_25.0_Anoxiao2_24h_fig1b,mda_mb_231_txsa_in_vitro,"Evofosfamide 25.0 umol/L, Anoxia% O2, 24h (Fig1B)",
mcf_10a_evofosf_25.0_1o2_48h_fig1c,mcf_10a_in_vitro,"Evofosfamide 25.0 umol/L, 1% O2, 48h (Fig1C)",
mcf_12a_evofosf_2.0_1o2_48h_fig1c,mcf_12a_in_vitro,"Evofosfamide 2.0 umol/L, 1% O2, 48h (Fig1C)",
dermal_fibroblast_evofosf_50.0_1o2_48h_fig1c,dermal_fibroblast_in_vitro,"Evofosfamide 50.0 umol/L, 1% O2, 48h (Fig1C)",
mda_mb_231_txsa_evofosf_0_21%o2_24h_control_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 0 umol/L, 21%% O2, Control (Fig2)",
mda_mb_231_txsa_evofosf_50_21%o2_24h_th_302_50um_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 50 umol/L, 21%% O2, TH-302_50uM (Fig2)",
mda_mb_231_txsa_evofosf_0_21%o2_24h_zvad_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 0 umol/L, 21%% O2, zVAD (Fig2)",
mda_mb_231_txsa_evofosf_50_21%o2_24h_th302_zvad_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 50 umol/L, 21%% O2, TH302+zVAD (Fig2)",
mda_mb_231_txsa_evofosf_0_1%o2_24h_control_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 0 umol/L, 1%% O2, Control (Fig2)",
mda_mb_231_txsa_evofosf_50_1%o2_24h_th_302_50um_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 50 umol/L, 1%% O2, TH-302_50uM (Fig2)",
mda_mb_231_txsa_evofosf_0_1%o2_24h_zvad_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 0 umol/L, 1%% O2, zVAD (Fig2)",
mda_mb_231_txsa_evofosf_50_1%o2_24h_th302_zvad_fig2,mda_mb_231_txsa_in_vitro,"Evofosfamide 50 umol/L, 1%% O2, TH302+zVAD (Fig2)",
invivo_orthotopic_day1_vehicle_fig4b,orthotopic_mammary_in_vivo,"Day 1, Vehicle (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day7_vehicle_fig4b,orthotopic_mammary_in_vivo,"Day 7, Vehicle (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day14_vehicle_fig4b,orthotopic_mammary_in_vivo,"Day 14, Vehicle (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day21_vehicle_fig4b,orthotopic_mammary_in_vivo,"Day 21, Vehicle (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day1_th_302_fig4b,orthotopic_mammary_in_vivo,"Day 1, TH-302 (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day7_th_302_fig4b,orthotopic_mammary_in_vivo,"Day 7, TH-302 (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day14_th_302_fig4b,orthotopic_mammary_in_vivo,"Day 14, TH-302 (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day21_th_302_fig4b,orthotopic_mammary_in_vivo,"Day 21, TH-302 (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day1_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 1, Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day7_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 7, Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day14_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 14, Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day21_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 21, Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day1_th_302_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 1, TH-302+Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day7_th_302_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 7, TH-302+Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day14_th_302_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 14, TH-302+Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
invivo_orthotopic_day21_th_302_paclitaxel_fig4b,orthotopic_mammary_in_vivo,"Day 21, TH-302+Paclitaxel (Fig4B)",Orthotopic mammary xenograft model
