observation_key,assay_key,condition_key,value,unit,quality_class,uncertainty_type,uncertainty_value,notes
obs_1,fig1b_hypoxia,mda_mb_231_txsa_evofosf_0.0_21%o2_24h_fig1b,100,% viability (control=100),QUANTITATIVE,,,"21%_O2, visual est."
obs_2,fig1b_hypoxia,mda_mb_231_txsa_evofosf_5.0_21%o2_24h_fig1b,98,% viability (control=100),QUANTITATIVE,,,"21%_O2, visual est."
obs_3,fig1b_hypoxia,mda_mb_231_txsa_evofosf_10.0_21%o2_24h_fig1b,97,% viability (control=100),QUANTITATIVE,,,"21%_O2, visual est."
obs_4,fig1b_hypoxia,mda_mb_231_txsa_evofosf_25.0_21%o2_24h_fig1b,97,% viability (control=100),QUANTITATIVE,,,"21%_O2, visual est."
obs_5,fig1b_hypoxia,mda_mb_231_txsa_evofosf_0.0_5%o2_24h_fig1b,100,% viability (control=100),QUANTITATIVE,,,"5%_O2, visual est."
obs_6,fig1b_hypoxia,mda_mb_231_txsa_evofosf_5.0_5%o2_24h_fig1b,95,% viability (control=100),QUANTITATIVE,,,"5%_O2, visual est."
obs_7,fig1b_hypoxia,mda_mb_231_txsa_evofosf_10.0_5%o2_24h_fig1b,90,% viability (control=100),QUANTITATIVE,,,"5%_O2, visual est."
obs_8,fig1b_hypoxia,mda_mb_231_txsa_evofosf_25.0_5%o2_24h_fig1b,80,% viability (control=100),QUANTITATIVE,,,"5%_O2, visual est."
obs_9,fig1b_hypoxia,mda_mb_231_txsa_evofosf_0.0_1%o2_24h_fig1b,90,% viability (control=100),QUANTITATIVE,,,"1%_O2, visual est."
obs_10,fig1b_hypoxia,mda_mb_231_txsa_evofosf_5.0_1%o2_24h_fig1b,80,% viability (control=100),QUANTITATIVE,,,"1%_O2, visual est."
obs_11,fig1b_hypoxia,mda_mb_231_txsa_evofosf_10.0_1%o2_24h_fig1b,70,% viability (control=100),QUANTITATIVE,,,"1%_O2, visual est."
obs_12,fig1b_hypoxia,mda_mb_231_txsa_evofosf_25.0_1%o2_24h_fig1b,58,% viability (control=100),QUANTITATIVE,,,"1%_O2, visual est."
obs_13,fig1b_hypoxia,mda_mb_231_txsa_evofosf_0.0_Anoxiao2_24h_fig1b,88,% viability (control=100),QUANTITATIVE,,,"Anoxia, visual est."
obs_14,fig1b_hypoxia,mda_mb_231_txsa_evofosf_5.0_Anoxiao2_24h_fig1b,55,% viability (control=100),QUANTITATIVE,,,"Anoxia, visual est."
obs_15,fig1b_hypoxia,mda_mb_231_txsa_evofosf_10.0_Anoxiao2_24h_fig1b,35,% viability (control=100),QUANTITATIVE,,,"Anoxia, visual est."
obs_16,fig1b_hypoxia,mda_mb_231_txsa_evofosf_25.0_Anoxiao2_24h_fig1b,15,% viability (control=100),QUANTITATIVE,,,"Anoxia, visual est."
obs_17,fig1c_ic50_normal,mcf_10a_evofosf_25.0_1o2_48h_fig1c,25.0,umol/L (IC50),QUANTITATIVE,,,Explicit from Results text (1% O2)
obs_18,fig1c_ic50_normal,mcf_12a_evofosf_2.0_1o2_48h_fig1c,2.0,umol/L (IC50),QUANTITATIVE,,,Explicit from Results text (1% O2)
obs_19,fig1c_ic50_normal,dermal_fibroblast_evofosf_50.0_1o2_48h_fig1c,50.0,umol/L (IC50),QUANTITATIVE,,,Explicit from Results text (1% O2)
obs_20,fig2_caspase3,mda_mb_231_txsa_evofosf_0_21%o2_24h_control_fig2,2500,RFU (caspase-3 activity),QUANTITATIVE,,,Visual est. Control
obs_21,fig2_cell_death,mda_mb_231_txsa_evofosf_0_21%o2_24h_control_fig2,5,% cell death,QUANTITATIVE,,,Visual est. Control
