assay_key,assay_type,assay_name,sample_type,measurement_platform,figure,panel,reported_time,reported_time_unit,replicate_count,notes
fig2c_ic50,Cell viability dose-response,Fig2C STA-9090 IC50 (72h growth inhibition),ESCC cell line,Cell viability assay,Figure 2,C,72,h,,IC50 values explicit (PRISM6-calculated) for MYC-high lines; dose-response curve visual est.
fig2b_protein_wb,Western blot densitometry,Fig2B HSP90/MYC protein expression in ESCC lines,ESCC cell line,"Western blot, band densitometry (relative intensity)",Figure 2,B,,,,Visual est. from bar charts (normalized to HEEC HSP90=1.0). Significance vs HEEC indicated.
fig2d_cellcycle,Cell cycle distribution,Fig2D STA-9090 cell cycle (24h),ESCC cell line,"Flow cytometry, PI staining (% G0/G1/S/G2M)",Figure 2,D,24,h,,"Visual est. from stacked bar chart; G0/G1 direct, S/G2M apportioned from divider."
fig2e_qpcr,qRT-PCR mRNA fold-change,Fig2E p21/p15 mRNA fold-change (24h),ESCC cell line,qRT-PCR (fold change relative to control=1.0),Figure 2,E,24,h,,Visual est. from bar charts (p21/p15 mRNA induction).
fig3b_myc_wb,Western blot densitometry,Fig3B c-Myc protein dose-response (24h),ESCC cell line,"Western blot, MYC band intensity (relative)",Figure 3,B,24,h,,Visual est. from bar charts; dose-dependent MYC degradation.
fig3d_apoptosis,Apoptosis (Annexin V flow),Fig3D STA-9090 apoptosis dose-response,ESCC cell line,"Flow cytometry, Annexin V staining (% apoptotic cells)",Figure 3,D,,,,Visual est. from bar charts (dose-dependent apoptosis induction).
fig4c_sirna_growth,MYC siRNA knockdown growth assay,Fig4C Cell growth with MYC siRNA +/- STA-9090,ESCC cell line,Cell viability/proliferation assay,Figure 4,C,,,,Visual est. from bar charts. Shows STA-9090 effect is partially MYC-dependent.
fig4d_sirna_apoptosis,MYC siRNA knockdown apoptosis assay,Fig4D Apoptosis with MYC siRNA +/- STA-9090,ESCC cell line,Apoptosis assay (% apoptotic),Figure 4,D,,,,Visual est. from bar charts. MYC knockdown partially reduces STA-9090 apoptosis induction.
fig5ab_cdx_tumor,Tumor growth in vivo (CDX),Fig5A/B STA-9090 tumor volume in CDX model (KYSE-150),ESCC CDX xenografts (in vivo),"Caliper measurement (tumor volume, mm³)",Figure 5,A-B,,,5,Visual est. from line graph. CDX derived from KYSE-150 (MYC-high). N=5/group.
fig5f_cdx_myc_wb,MYC protein IHC (in vivo),Fig5F c-Myc IHC in CDX tumors,ESCC CDX xenografts (in vivo),Immunohistochemistry (MYC+ cell %),Figure 5,F,,,,Visual est. MYC expression decreased with STA-9090.
fig6d_pdx_tumor,Tumor growth in vivo (PDX),Fig6D STA-9090 tumor volume in PDX model,ESCC PDX xenografts (in vivo),"Caliper measurement (tumor volume, mm³)",Figure 6,D,,,,Visual est. from line graph. Patient-derived xenograft model.
fig6g_pdx_myc_wb,MYC protein IHC (in vivo),Fig6G c-Myc IHC in PDX tumors,ESCC PDX xenografts (in vivo),Immunohistochemistry (MYC+ cell %),Figure 6,G,,,,Visual est. MYC expression response in PDX model.
