condition_key,context_key,condition_label,notes
heec_sta9090_0_fig2b,heec_in_vitro,STA-9090 0 nM (Fig2B),
te_1_sta9090_0_fig2b,te_1_in_vitro,STA-9090 0 nM (Fig2B),
kyse_150_sta9090_0_fig2b,kyse_150_in_vitro,STA-9090 0 nM (Fig2B),
eca_109_sta9090_0_fig2b,eca_109_in_vitro,STA-9090 0 nM (Fig2B),
kyse_150_sta9090_29.32_72h_fig2c,kyse_150_in_vitro,"STA-9090 29.32 nM, 72h (Fig2C)",
eca_109_sta9090_69.44_72h_fig2c,eca_109_in_vitro,"STA-9090 69.44 nM, 72h (Fig2C)",
kyse_150_sta9090_0.0_24h_fig2d,kyse_150_in_vitro,"STA-9090 0.0 nM, 24h (Fig2D)",
kyse_150_sta9090_50.0_24h_fig2d,kyse_150_in_vitro,"STA-9090 50.0 nM, 24h (Fig2D)",
kyse_150_sta9090_100.0_24h_fig2d,kyse_150_in_vitro,"STA-9090 100.0 nM, 24h (Fig2D)",
kyse_150_sta9090_500.0_24h_fig2d,kyse_150_in_vitro,"STA-9090 500.0 nM, 24h (Fig2D)",
kyse_150_sta9090_0.0_24h_fig2e,kyse_150_in_vitro,"STA-9090 0.0 nM, 24h (Fig2E)",
kyse_150_sta9090_50.0_24h_fig2e,kyse_150_in_vitro,"STA-9090 50.0 nM, 24h (Fig2E)",
kyse_150_sta9090_500.0_24h_fig2e,kyse_150_in_vitro,"STA-9090 500.0 nM, 24h (Fig2E)",
eca_109_sta9090_0.0_24h_fig2e,eca_109_in_vitro,"STA-9090 0.0 nM, 24h (Fig2E)",
eca_109_sta9090_50.0_24h_fig2e,eca_109_in_vitro,"STA-9090 50.0 nM, 24h (Fig2E)",
eca_109_sta9090_500.0_24h_fig2e,eca_109_in_vitro,"STA-9090 500.0 nM, 24h (Fig2E)",
kyse_150_sta9090_0.0_24h_fig3b,kyse_150_in_vitro,"STA-9090 0.0 nM, 24h (Fig3B)",
kyse_150_sta9090_50.0_24h_fig3b,kyse_150_in_vitro,"STA-9090 50.0 nM, 24h (Fig3B)",
kyse_150_sta9090_100.0_24h_fig3b,kyse_150_in_vitro,"STA-9090 100.0 nM, 24h (Fig3B)",
kyse_150_sta9090_500.0_24h_fig3b,kyse_150_in_vitro,"STA-9090 500.0 nM, 24h (Fig3B)",
eca_109_sta9090_0.0_24h_fig3b,eca_109_in_vitro,"STA-9090 0.0 nM, 24h (Fig3B)",
eca_109_sta9090_50.0_24h_fig3b,eca_109_in_vitro,"STA-9090 50.0 nM, 24h (Fig3B)",
eca_109_sta9090_100.0_24h_fig3b,eca_109_in_vitro,"STA-9090 100.0 nM, 24h (Fig3B)",
eca_109_sta9090_500.0_24h_fig3b,eca_109_in_vitro,"STA-9090 500.0 nM, 24h (Fig3B)",
kyse_150_sta9090_0.0_fig3d,kyse_150_in_vitro,STA-9090 0.0 nM (Fig3D),
kyse_150_sta9090_50.0_fig3d,kyse_150_in_vitro,STA-9090 50.0 nM (Fig3D),
kyse_150_sta9090_100.0_fig3d,kyse_150_in_vitro,STA-9090 100.0 nM (Fig3D),
kyse_150_sta9090_500.0_fig3d,kyse_150_in_vitro,STA-9090 500.0 nM (Fig3D),
eca_109_sta9090_0.0_fig3d,eca_109_in_vitro,STA-9090 0.0 nM (Fig3D),
eca_109_sta9090_50.0_fig3d,eca_109_in_vitro,STA-9090 50.0 nM (Fig3D),
eca_109_sta9090_100.0_fig3d,eca_109_in_vitro,STA-9090 100.0 nM (Fig3D),
eca_109_sta9090_500.0_fig3d,eca_109_in_vitro,STA-9090 500.0 nM (Fig3D),
kyse_150_sta9090_0.0_scramble_fig4c,kyse_150_in_vitro,"STA-9090 0.0 nM, scramble (Fig4C)",
kyse_150_sta9090_100.0_scramble_fig4c,kyse_150_in_vitro,"STA-9090 100.0 nM, scramble (Fig4C)",
kyse_150_sta9090_0.0_MYC_siRNA_fig4c,kyse_150_in_vitro,"STA-9090 0.0 nM, MYC_siRNA (Fig4C)",
kyse_150_sta9090_100.0_MYC_siRNA_fig4c,kyse_150_in_vitro,"STA-9090 100.0 nM, MYC_siRNA (Fig4C)",
