record_id,figure_panel,cell_line,alteration,exposure_hours,pemigatinib_nM,phosphoprotein,total_protein,signal_raw_integrated_inverse_gray_px,signal_local_background_mean_inverse_gray,signal_background_corrected,total_raw_integrated_inverse_gray_px,total_local_background_mean_inverse_gray,total_background_corrected,phospho_to_total,vehicle_normalized_phospho_to_total,value_provenance,quantification_status
P32315352_KG1A_PFGFR_01,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,54,pFGFR_Y653_Y654,FGFR1,1237.8,2.69,1116.6,1530.2,2.13,1455.7,0.767,0.624,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_02,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,18,pFGFR_Y653_Y654,FGFR1,2072.9,5.10,1843.5,3178.1,3.73,3047.5,0.605,0.492,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_03,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,6,pFGFR_Y653_Y654,FGFR1,3839.6,7.20,3515.8,4559.5,8.09,4276.3,0.822,0.668,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_04,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,2,pFGFR_Y653_Y654,FGFR1,2642.8,6.37,2356.1,3772.1,5.93,3564.4,0.661,0.537,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_05,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.7,pFGFR_Y653_Y654,FGFR1,4452.8,7.13,4131.7,4408.4,6.26,4189.5,0.986,0.802,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_06,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.2,pFGFR_Y653_Y654,FGFR1,5509.6,7.33,5180.0,4670.5,5.07,4493.2,1.153,0.937,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_07,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.06,pFGFR_Y653_Y654,FGFR1,5555.6,7.21,5231.3,4596.5,5.05,4419.7,1.184,0.962,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PFGFR_08,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0,pFGFR_Y653_Y654,FGFR1,6120.3,9.00,5715.5,4926.8,8.00,4646.7,1.230,1.000,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PERK_01,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,54,pERK1_2_T202_Y204,ERK1_2,777.9,18.23,-42.3,1923.0,18.23,1102.6,0,0,digitized_from_published_figure_image,below_local_background
P32315352_KG1A_PERK_02,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,18,pERK1_2_T202_Y204,ERK1_2,733.0,24.86,-385.6,3736.8,24.86,2617.9,0,0,digitized_from_published_figure_image,below_local_background
P32315352_KG1A_PERK_03,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,6,pERK1_2_T202_Y204,ERK1_2,878.3,18.10,64.0,5965.1,18.10,5150.6,0.0124,0.0394,digitized_from_published_figure_image,usable_single_blot
