record_id,figure_table_panel,drug,drug_concentration,concentration_units,exposure_time,cell_line,genotype_mutation,stimulus_ligand_conditions,measured_observable,assay_type,normalization,experimental_value,value_unit,error_uncertainty,replicate_count,value_provenance,notes
P32315352_001,Fig. 1B,INCB054828 (pemigatinib),concentration-response,nM,not reported,recombinant human FGFR1,none,recombinant enzyme assay,FGFR1 kinase inhibition IC50,biochemical enzyme assay,not reported,0.4,nM,SD stated as reported in figure but numeric SD not tabulated,8,directly tabulated in text,Assayed at Km ATP.
P32315352_002,Fig. 1B,INCB054828 (pemigatinib),concentration-response,nM,not reported,recombinant human FGFR2,none,recombinant enzyme assay,FGFR2 kinase inhibition IC50,biochemical enzyme assay,not reported,0.5,nM,SD stated as reported in figure but numeric SD not tabulated,8,directly tabulated in text,Assayed at Km ATP.
P32315352_003,Fig. 1B,INCB054828 (pemigatinib),concentration-response,nM,not reported,recombinant human FGFR3,none,recombinant enzyme assay,FGFR3 kinase inhibition IC50,biochemical enzyme assay,not reported,1.0,nM,SD stated as reported in figure but numeric SD not tabulated,8,directly tabulated in text,Assayed at Km ATP.
P32315352_004,Fig. 1B,INCB054828 (pemigatinib),concentration-response,nM,not reported,recombinant human FGFR4,none,recombinant enzyme assay,FGFR4 kinase inhibition IC50,biochemical enzyme assay,not reported,30,nM,SD stated as reported in figure but numeric SD not tabulated,6,directly tabulated in text,Assayed at Km ATP.
P32315352_005,S3 Fig A,INCB054828 (pemigatinib),concentration-response,nM,not reported,KATO III,high wild-type FGFR2 expression,none,pFGFR2 inhibition IC50,phospho-FGFR2 ELISA,percent inhibition relative to vehicle,3,nM,not reported,10,extracted from text,S3 Fig legend: one representative of 10 assays.
P32315352_006,S3 Fig B,INCB054828 (pemigatinib),concentration-response,nM,not reported,KATO III,high wild-type FGFR2 expression,KATO III cells spiked into normal donor blood,pFGFR2 inhibition IC50,phospho-FGFR2 ELISA,percent inhibition relative to vehicle,10.9,nM,not reported,11,extracted from text,Cellular target-engagement condition with human protein binding.
P32315352_007,S3 Fig C,INCB054828 (pemigatinib),concentration-response,nM,not reported,Ba/F3-FGFR1-TEL,engineered FGFR1 kinase domain fused to ETV6/TEL dimerization domain,none,FGFR1 autophosphorylation inhibition IC50,phospho-FGFR assay,percent inhibition relative to vehicle,3,nM,not reported,3,extracted from text,The main text describes the construct as FGFR1 fusion with ETV6/TEL.
P32315352_008,S3 Fig D,INCB054828 (pemigatinib),concentration-response,nM,not reported,Ba/F3-FGFR3-TEL,engineered FGFR3 kinase domain fused to ETV6/TEL dimerization domain,none,FGFR3 autophosphorylation inhibition IC50,phospho-FGFR assay,percent inhibition relative to vehicle,4,nM,not reported,3,extracted from text,The main text describes the construct as FGFR3 fusion with ETV6/TEL.
P32315352_009,Fig. 3B,INCB054828 (pemigatinib),plasma exposure-response,nM,single oral administration; sample times not specified,KATO III xenograft tumor,FGFR2 amplification,none,tumor pFGFR2 inhibition IC50,ELISA of tumor homogenate,percent inhibition relative to untreated,22,nM,not reported,not reported,extracted from text,In vivo target-engagement value; not directly usable without a PK/exposure model.
P32315352_010,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,H1581,FGFR1 amplification,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,14,nM,SD 9 nM,minimum 3 independent experiments,directly tabulated,Human lung cancer line.
