record_id,experiment,dose_mg_per_kg,time_day,mean_tumor_volume_mm3
T33818908_F2A_E1_CTRL_D0,Exp1,0,0,200
T33818908_F2A_E1_CTRL_D3,Exp1,0,3,250
T33818908_F2A_E1_CTRL_D7,Exp1,0,7,600
T33818908_F2A_E1_CTRL_D10,Exp1,0,10,1000
T33818908_F2A_E1_5_D0,Exp1,5,0,200
T33818908_F2A_E1_5_D3,Exp1,5,3,210
T33818908_F2A_E1_5_D7,Exp1,5,7,180
T33818908_F2A_E1_5_D10,Exp1,5,10,170
T33818908_F2A_E1_15_D0,Exp1,15,0,200
T33818908_F2A_E1_15_D3,Exp1,15,3,250
T33818908_F2A_E1_15_D7,Exp1,15,7,420
T33818908_F2A_E1_15_D10,Exp1,15,10,620
T33818908_F2A_E1_25_D0,Exp1,25,0,200
T33818908_F2A_E1_25_D3,Exp1,25,3,260
T33818908_F2A_E1_25_D7,Exp1,25,7,340
T33818908_F2A_E1_25_D10,Exp1,25,10,300
T33818908_F2A_E1_200_D0,Exp1,200,0,200
T33818908_F2A_E1_200_D3,Exp1,200,3,160
T33818908_F2A_E1_200_D7,Exp1,200,7,150
T33818908_F2A_E1_200_D10,Exp1,200,10,140
T33818908_F2A_E2_CTRL_D0,Exp2,0,0,200
T33818908_F2A_E2_CTRL_D3,Exp2,0,3,400
T33818908_F2A_E2_CTRL_D6,Exp2,0,6,700
T33818908_F2A_E2_CTRL_D10,Exp2,0,10,1050
T33818908_F2A_E2_CTRL_D13,Exp2,0,13,1350
T33818908_F2A_E2_CTRL_D16,Exp2,0,16,1500
T33818908_F2A_E2_25_D0,Exp2,25,0,200
T33818908_F2A_E2_25_D3,Exp2,25,3,300
T33818908_F2A_E2_25_D6,Exp2,25,6,400
T33818908_F2A_E2_25_D10,Exp2,25,10,400
T33818908_F2A_E2_25_D13,Exp2,25,13,570
T33818908_F2A_E2_25_D16,Exp2,25,16,480
T33818908_F2A_E2_50_D0,Exp2,50,0,200
T33818908_F2A_E2_50_D3,Exp2,50,3,280
T33818908_F2A_E2_50_D6,Exp2,50,6,300
T33818908_F2A_E2_50_D10,Exp2,50,10,320
T33818908_F2A_E2_50_D13,Exp2,50,13,370
T33818908_F2A_E2_50_D16,Exp2,50,16,300
T33818908_F2A_E2_200_D0,Exp2,200,0,200
T33818908_F2A_E2_200_D3,Exp2,200,3,170
T33818908_F2A_E2_200_D6,Exp2,200,6,160
T33818908_F2A_E2_200_D10,Exp2,200,10,160
T33818908_F2A_E2_200_D13,Exp2,200,13,140
T33818908_F2A_E2_200_D16,Exp2,200,16,100
