record_id,drug,dose_mg_per_kg,time_day,mean_tumor_volume_mm3,sem_tumor_volume_mm3
T33818908_F2D_CTRL_D0,Vehicle,0,0,160,10
T33818908_F2D_CTRL_D3,Vehicle,0,3,270,30
T33818908_F2D_CTRL_D6,Vehicle,0,6,440,70
T33818908_F2D_CTRL_D8,Vehicle,0,8,720,120
T33818908_F2D_CTRL_D9,Vehicle,0,9,770,110
T33818908_F2D_MSC2_D0,MSC2571109A,2,0,160,10
T33818908_F2D_MSC2_D3,MSC2571109A,2,3,310,35
T33818908_F2D_MSC2_D6,MSC2571109A,2,6,540,70
T33818908_F2D_MSC2_D8,MSC2571109A,2,8,720,120
T33818908_F2D_MSC2_D9,MSC2571109A,2,9,850,115
T33818908_F2D_MSC10_D0,MSC2571109A,10,0,160,10
T33818908_F2D_MSC10_D3,MSC2571109A,10,3,240,30
T33818908_F2D_MSC10_D6,MSC2571109A,10,6,420,70
T33818908_F2D_MSC10_D8,MSC2571109A,10,8,630,130
T33818908_F2D_MSC10_D9,MSC2571109A,10,9,670,100
T33818908_F2D_MSC50_D0,MSC2571109A,50,0,160,10
T33818908_F2D_MSC50_D3,MSC2571109A,50,3,220,30
T33818908_F2D_MSC50_D6,MSC2571109A,50,6,390,60
T33818908_F2D_MSC50_D8,MSC2571109A,50,8,560,90
T33818908_F2D_MSC50_D9,MSC2571109A,50,9,670,100
T33818908_F2D_TEP200_D0,Tepotinib,200,0,160,10
T33818908_F2D_TEP200_D3,Tepotinib,200,3,145,25
T33818908_F2D_TEP200_D6,Tepotinib,200,6,130,30
T33818908_F2D_TEP200_D8,Tepotinib,200,8,130,30
T33818908_F2D_TEP200_D9,Tepotinib,200,9,125,30
