record_id,tumor_type,dose_mg_per_day,auc24h_ng_h_per_ml,pMET_relative_to_baseline_percent
T33818908_F4_OTHER_130_001,Other,130,0,25.7
T33818908_F4_MELANOMA_130,Melanoma,130,1900,24.3
T33818908_F4_OTHER_100,Other,100,2000,15.3
T33818908_F4_COLORECTAL_60,Colorectal,60,1900,1.5
T33818908_F4_OTHER_400,Other,400,8500,1.7
T33818908_F4_COLORECTAL_300_001,Colorectal,300,10600,0.2
T33818908_F4_COLORECTAL_500,Colorectal,500,12500,0.4
T33818908_F4_ESOPHAGUS_500,Esophagus,500,13700,5.8
T33818908_F4_ESOPHAGUS_1000,Esophagus,1000,16200,0.3
T33818908_F4_COLORECTAL_300_003,Colorectal,300,19300,0.2
T33818908_F4_KIDNEY_300,Kidney,300,20000,0.9
T33818908_F4_LUNG_500,Lung,500,20500,0.2
T33818908_F4_LUNG_300,Lung,300,26000,5.5
